Description,Employer,Location,Translation,Multiple,State
Lehrstelle als Restaurationsfachmann/frau EFZ (m/w) auf Sommer 2021,,CH 8428 Teufen,Apprenticeship as a restoration / frau EFZ (m / w) in summer 2021,N,Zurich
Community Coordinator,GIANTS Software GmbH,CH 8454 Buchberg,Community Coordinator,N,Schaffhausen
Event Manager,GIANTS Software GmbH,CH 8454 Buchberg,event Manager,N,Schaffhausen
Junior Sound Engineer,GIANTS Software GmbH,CH 8454 Buchberg,Junior Sound Engineer,N,Schaffhausen
Bike-Guide m/w ab für die Saison 2020,Aktivferien AG,CH 8472 Seuzach,Bike guide m / w from for the season 2020,N,Zurich
Restaurationsfachmann / Fachfrau 50-100%,,CH 8472 Seuzach,Restoration specialist / expert 50-100%,N,Zurich
Projektleiter Event und Messemobiliar,Creativework AG,CH 8544 Attikon,Project Event and exhibition furniture,N,Zurich
Sachbearbeiter (m/w/d) Export Landverkehre,Kühne + Nagel AG,Embrach,Agent (m / m / d) exporting country traffics,N,Zurich
PersonalberaterIn 80-100%,Tempro Personal,Frauenfeld,HR consultant 80-100%,N,Thurgau
Personal sachbearbeiter/-in 60%-100%,"inova Personal AG, Frauenfeld",Gachnang,Personnel clerk / -in 60% -100%,N,Thurgau
Business Manager (m/f/d) Integrated Logistics,Kühne + Nagel AG,Glattbrugg,Business manager (m / f / d) Integrated Logistics,N,Zurich
Product Lead in AI-Tech Start-up für SaaS Lösung in Fertigungsindustrie,Imnoo AG,Glattbrugg,Product Lead in AI-tech start-up SaaS solution in manufacturing industry,N,Zurich
Business Manager (m/f/d) Integrated Logistics,,"Glattbrugg, Zürich",Business manager (m / f / d) Integrated Logistics,N,Zurich
Business Manager (m/f/d) Integrated Logistics,,"Glattbrugg, Zürich",Business manager (m / f / d) Integrated Logistics,N,Zurich
Sales & Marketing Werksstudent (m/ w/ d),,"Glattbrugg, Zürich",Sales & Marketing Working Student (m / w / d),N,Zurich
Acquisition Marketing Manager - Mobile Broadband (w/m) 100%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),Acquisition Marketing Manager - Mobile Broadband (w / m) 100%,N,Zurich
Digital Content Marketing Manager B2B (w/m) 80%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),Digital Content Marketing Manager B2B (m / f) 80%,N,Zurich
HR Operations Expert (w/m) 80-100%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),HR Operations Expert (w / m) 80-100%,N,Zurich
Leiter Expansion & POS Entwicklung (w/m) 100%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),Head expansion POS & Development (w / m) 100%,N,Zurich
Marketing Manager - Partnerschaften und Kooperationen (w/m) 100%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),Marketing Manager - partnerships and collaborations (w / m) 100%,N,Zurich
Product Manager TV Customer Experience (w/m) 100%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),Product Manager TV Customer Experience (w / m) 100%,N,Zurich
Sales Planner (w/m) 80 - 100%,Sunrise Communications AG,Glattpark (Opfikon - Zürich),Sales Planner (w / w) 80-100%,N,Zurich
"Senior Product Manager Internet, Konvergenz & Zubehör (w/m) 100%",Sunrise Communications AG,Glattpark (Opfikon - Zürich),"Senior Product Manager Internet, convergence & Accessories (w / m) 100%",N,Zurich
Receptionist / Assistent (m/w),Golf Kyburg,Kemptthal,Receptionist / Assistant (m / f),N,Zurich
Gemeinde schreiber/in 100%,Gemeindeverwaltung,Lindau,Municipality writer / in 100%,N,Zurich
Category Manager Procurement,IVF HARTMANN AG,Neuhausen,Procurement Category Manager,N,Schaffhausen
HR Business Partner - Digital Customer Experience,AGCO International GmbH,Neuhausen,HR Business Partner - Digital Customer Experience,N,Schaffhausen
Project Manager Logistics and Processes (100 %),IVF HARTMANN AG,Neuhausen,Project Manager Logistics and Processes (100%),N,Schaffhausen
Ausbildungsplatz Systemgastronomiefachfrau mann EFZ,Genossenschaft ZFV-Unternehmungen,Neuhausen am Rheinfall,Apprenticeship system catering expert man EFZ,N,Schaffhausen
"zoll deklarant, m/w",progress personal ag,raum schaffhausen,"duty deklarant, m / w",N,Schaffhausen
HR Business Partner / HR Business Partnerin,Careerplus AG,Raum Winterthur,HR Business Partner / HR Business Partner,N,Zurich
HR Business Partner / HR Business Partnerin,Careerplus AG,Raum Winterthur,HR Business Partner / HR Business Partner,N,Zurich
Human Resources Manager 60 - 70 % D/F (w/m),Human Professional Personalberatung AG,Raum Winterthur,Human Resources Manager 60-70% D / F (w / m),N,Zurich
Office Manager,"Global Personal Partner AG, Filiale Zürich - Technik",Raum Winterthur,Office Manager,N,Zurich
Betriebsleiter (m/w) 100%,,Region Zürich,Manager (m / w) 100%,N,Zurich
Selbständiges Verkaufstalent Region Zürich,,Region Zürich,Independent sales talent Region Zurich,N,Zurich
HR-MANAGER inkl. Payroll mit sehr guten Italienischkenntnissen,Mooser & Partner AG,Region Zürich Nord,HR MANAGER incl. Payroll with very good knowledge of Italian,N,Zurich
Assistentin / Assistent GL-Sekretariat und/oder Personal (100 % oder 40 - 60 % im Jobsharing),FF GROUP AG,Schaffhausen,Assistant / Assistant GL Secretariat and / or staff (100% or 40 - 60% in job sharing),N,Schaffhausen
Assistentin/Assistent mit Schwergewicht Personal 80 - 100 %,SH POWER,Schaffhausen,Assistant / assistant with emphasis staff from 80 to 100%,N,Schaffhausen
Logistician EFZ (100 %),FF GROUP AG,Schaffhausen,Logistician EFZ (100 %),N,Schaffhausen
Logistiker/in EFZ - Pensum 100%,Rhenus Alpina AG,Schaffhausen,Logisticians / EFZ - workload 100%,N,Schaffhausen
"TEAMLEITER DETAILHANDELS-FACHMANN EFZ AUTOTEILELOGISTIK (W/M), 100 %",Hutter Dynamics AG,Schaffhausen,"TEAMLEITER Detailhandels PROFESSIONAL EFZ automobile parts logistics (W / M), 100%",N,Schaffhausen
Chauffeur Kat. C/E 100% (m/w),Anicom AG,Seuzach,Driver Cat. C / E 100% (w / w),N,Zurich
"Qualitäts-Manager/in Kundendienst 80 bis 100 %, Standort St. Gallen oder Winterthur",Quickmail AG,St. Gallen,"St. Gallen Quality Manager / Customer Service in 80 to 100%, location or Winterthur",N,Sankt Gallen
Executive Assistant / Personaladministration,Careerplus AG,Stadt Schaffhausen,Executive Assistant / Personnel Administration,N,Schaffhausen
Chauffeur Kat. C/E (m/w),TRAVECO Transporte AG,Winterthur,Driver Cat. C / E (m / w),N,Zurich
Chauffeure Kat. C/E als Quereinsteigende (m/w),TRAVECO Transporte AG,Winterthur,Drivers Cat. C / E as Quereinsteigende (m / w),N,Zurich
CONSULTANT FÜR SYSTEMARCHITEKTUR GA / ICT,,Winterthur,CONSULTANT FOR ARCHITECTURE GA / ICT,N,Zurich
Executive Assistant 100% (m/w),Kistler,Winterthur,Executive Assistant 100% (w / w),N,Zurich
Geschäftsführer/in 100%,Two Spice AG,Winterthur,Manager / in 100%,N,Zurich
HR Business Partner,Real Personal Werner Blumer AG,Winterthur,HR Business Partner,N,Zurich
Leiter/-in Finanzen und Personal,Consultive Treuhand AG,Winterthur,Leiter / -in Finance and Human Resources,N,Zurich
Marketing und Sales Manager (m/w) 60-80%,Premotec GmbH,Winterthur,Marketing and Sales Manager (m / w) 60-80%,N,Zurich
Mitarbeiter/-in Produktion und Versand (80%),NetModule AG,Winterthur,Employees / -in production and shipping (80%),N,Zurich
Operative/r Einkäufer/in,Wärtsilä Services Switzerland Ltd,Winterthur,Operative / r buyers / in,N,Zurich
ReiseberaterIn Winterthur (70 - 100% - m/w),DER Touristik Suisse,Winterthur,Travel agent Winterthur (70 - 100% - m / w),N,Zurich
Stv. Geschäftsführer in 100%,,Winterthur,Deputy. CEO in 100%,N,Zurich
Teamleiter HR Payroll (m/w) 100%,exedra ag Zürich,Winterthur,Team leader HR Payroll (m / w) 100%,N,Zurich
Administrative Assistentin (60 - 80%),CREMA Research GmbH,Zürich,Administrative Assistant (60-80%),N,Zurich
Consultant (100% ),Kelly Services HR Neuchâtel,Zürich,Consultant (100%),N,Zurich
Payroll Specialists 80-100%,Stutz & Partner Personaldienstleistungen,Zürich,Payroll Specialists 80-100%,N,Zurich
