Description,Employer,Location,Translation,Multiple,State
Spezialist*in HR Administration 60%,Xovis AG,Zollikofen/Bern,* Specialist in HR Administration 60%,Y,Bern
Spezialist*in HR Administration 60%,Xovis AG,Zollikofen/Bern,* Specialist in HR Administration 60%,Y,Bern
Principal Consultant Enterprise Architect,ERNI Schweiz AG,Zürich / Bern,Principal Consultant Enterprise Architect,Y,Bern
DevOps Consultant 80-100%,Zühlke Engineering AG,Zurich Bern,DevOps Consultant 80-100%,Y,Bern
Content Manager / Copywriter,Carvolution AG,Zürich oder Bannwil (BE),Content Manager / Copywriter,Y,Bern
Marketing Manager B2B 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,Marketing Manager B2B 80% to 100%,Y,Bern
Product Manager B2B Internet Services 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,Product Manager B2B Internet services 80% to 100%,Y,Bern
Senior Consultant im Polizeiumfeld mit Verkaufsflair (m/w/d),AWK Group AG,"Zürich, Bern, Basel, Lausanne",Senior Consultant in the police environment sale Flair (m / w / d),Y,Bern
Teamleader SEO m/w/d,Scout24 Schweiz AG,Zürich/ Flamatt,SEO Team Leader m / f / d,Y,Multiple
Principal Consultant in der Software Entwicklung (Medtech/Health) / Mitglied des Kaders,ERNI Schweiz AG,Zürich/Bern,Principal Consultant in software development (Medtech / Health) / Member of Management,Y,Bern
HR Assistent (m/w) (80%-100%),Notz Metall AG,2555 Brügg,HR assistant (m / w) (80% -100%),N,Bern
SHIPPING OPERATIONS COORDINATOR,Swiss Timing,2606 Corgemont,SHIPPING OPERATIONS COORDINATOR,N,Bern
Lehrstelle als Restaurantfachfrau / Restaurantfachmann EFZ im Du Nord oder Eiger,,3013 Bern,Apprenticeship as a restaurant specialist / restaurant specialist EFZ at Du Nord or Eiger,N,Bern
"Praktikant/in zu div. Fitness-Ausbildungen mit eidg. FA, 80-100%",,3084 Wabern,"Intern / in div. Fitness training with federal. FA, 80-100%",N,Bern
Praktikant/in Marketing und Kommunikation (m/w) 80 - 100%,,3600 Thun,Intern / in Marketing and Communication (m / w) 80-100%,N,Bern
Aushilfe Restauration Hotel Wetterhorn 50%,Sinnvoll Dienstleistungen GmbH,6083 Hasliberg Hohfluh,Temporary help restoration Hotel Wetterhorn 50%,N,Bern
Restaurationsfachfrau/-mann Hotel Wetterhorn 100%,Sinnvoll Dienstleistungen GmbH,6083 Hasliberg Hohfluh,Restoration / -mann Hotel Wetterhorn 100%,N,Bern
Restaurationsfachfrau/-mann Pizzeria Bären 100%,Sinnvoll Dienstleistungen GmbH,6083 Hasliberg Hohfluh,Restoration / -mann Pizzeria bear 100%,N,Bern
HR-Businesspartner (80-100%) m/w,DELIGO AG,Aarau,HR-Business Partner (80-100%) m / w,N,Aargau
Geschäftsführer/-in EVU,Engineering Management Selection E.M.S. AG,Achse Bern–Thun,Manager / -in RU,N,Bern
"Personaladministration und Direktionssekretariat, 50-100%",Bergbahnen Adelboden AG,Adelboden,"Personnel administration and management secretariat, 50-100%",N,Bern
Personalfachfrau / Personalfachmann 30% - 40%,Coherent Switzerland AG,Belp,Personalfachfrau / personnel specialist 30% - 40%,N,Bern
Allrounder Gastronomie & Küche (m/w) 60-100%,Touring Club Suisse (TCS),Bern,Allrounder Dining & kitchen (m / w) 60-100%,N,Bern
Assistent Produktmanagement (m/w/d) 60%,Identitas AG,Bern,Assistant product (m / h / d) 60%,N,Bern
Ausbilder (w/m),fenaco Genossenschaft,Bern,Trainers (w / m),N,Bern
Ausbilder und Coach (w/m),fenaco Genossenschaft,Bern,Trainers and coach (w / m),N,Bern
Ausbildungsplatz Hotelfachfrau mann EFZ,Genossenschaft ZFV-Unternehmungen,Bern,Apprenticeship Hotelfachfrau man EFZ,N,Bern
Ausbildungsplatz Systemgastronomiefachfrau mann EFZ,Genossenschaft ZFV-Unternehmungen,Bern,Apprenticeship system catering expert man EFZ,N,Bern
Betriebs assistent Administration für Bankette w/m 100%,Schwellenmätteli Restaurants,Bern,Operation assistant Administration for banquets w / m 100%,N,Bern
Betriebsassistent w/m 100%,Remimag Gastronomie AG,Bern,Operation assistant w / m 100%,N,Bern
Betriebsassistent/In,Restaurant Dampfzentrale,Bern,Operating assistant / In,N,Bern
Betriebsleiter/in Hotel Marthahaus (100%),Band-Genossenschaft,Bern,Plant Manager / in Hotel Marthahaus (100%),N,Bern
"BLS-Reiseberater/in CareerStart Vollzeit, Teilzeit möglich",BLS AG,Bern,"BLS Travel Consultant / Career Start in full-time, part-time possible",N,Bern
Business Analyst in supply chain management,Asendia Management SAS,Bern,Business Analyst in supply chain management,N,Bern
Chef de Brigade (w/m) 100% unbefristet,Ospena Group AG,Bern,Chief Brigade (w / w) 100% unbefristet,N,Bern
Chef de Réception (w/m),Hotelis SA (Bern),Bern,Front Office Manager (w / m),N,Bern
Consultant,Valion AG,Bern,Consultant,N,Bern
Content Marketing Manager (m/w),Touring Club Suisse (TCS),Bern,Content Marketing Manager (m / f),N,Bern
"Crewmember Systemgastronomie (m/w), 40-60%",,bern,"Crew Member Systemgastronomie (m / w), 40-60%",N,Bern
Data Platform Consultant (m/w) 80 - 100 %,,Bern,Data Platform Consultant (m / w) 80-100%,N,Bern
Digital Marketing Consultant (100%),ads&figures AG,Bern,Digital Marketing Consultant (100%),N,Bern
Dispatcher Network Operations 80% bis 100%,Swisscom (Schweiz) AG,Bern,Dispatcher Network Operations 80% to 100%,N,Bern
Disponent (m/w) 90-100%,Touring Club Suisse (TCS),Bern,MRP (m / w) 90-100%,N,Bern
Disponent/-in (m/w/d),OK JOB AG,Bern,MRP / -in (m / w / d),N,Bern
Disponent/in Lenkung Flotte,SBB AG,Bern,MRP / steering in fleet,N,Bern
Disponent/in Lenkung Flotte 80 - 100%,Schweizerische Bundesbahnen SBB,Bern,MRP / in steering fleet 80-100%,N,Bern
ECM integration & Invoice Management consultant,ELCA Informatik AG,Bern,ECM integration & Invoice Management consultant,N,Bern
Einkäufer*in,,Bern,* Buyers in,N,Bern
Food&Beverage Praktikum in unserer Bar à vin 100% - Bern,,Bern,Food & Beverage internship in our bar à vin 100% - Bern,N,Bern
Fach assistenz Leiter Produktion (m/w),BKW Energie AG,Bern,Specialist assistant production manager (m / f),N,Bern
Fach assistenz Verteilnetz Management (m/w),BKW Energie AG,Bern,Specialist assistant distribution management (m / f),N,Bern
Fachspezialist/in Generalsekretariat,,Bern,Specialist / in Secretariat,N,Bern
Fachspezialist/in Geschäftsentwicklung 100%,Schweizerische Bundesbahnen SBB,Bern,Specialist / in business 100%,N,Bern
Fachspezialist/in Life Cycle Costing und langfristige Planung West,SBB AG,Bern,Specialist / in Life Cycle Costing and long-term planning West,N,Bern
Fachspezialist/in Life Cycle Costing und langfristige Planung West,SBB AG,Bern,Specialist / in Life Cycle Costing and long-term planning West,N,Bern
"Fachspezialist/in Stab Vollzeit, Teilzeit möglich",BLS AG,Bern,"Specialist / bar in full-time, part-time possible",N,Bern
Fachspezialistin Prozessmanagement (m/w),ewb Energie Wasser Bern,Bern,Skilled specialist process management (m / f),N,Bern
Flottenmanager Astoro (m/w) 100%,Schweizerische Bundesbahnen SBB,Bern,Fleet manager Astoro (m / w) 100%,N,Bern
Gastgeber-Paar als Geschäftsführer,GSC General Service Center AG,Bern,Host pair as CEO,N,Bern
Gebietskoordinator in für Zusteller innen Raum Biel (Stadt/Agglo),,Bern,Field coordinator in tool inside space Biel (City / Agglo),N,Bern
Gebietskoordinator*in für Zusteller*innen 70% Raum Biel (Stadt/Agglomeration),Direct Mail Company AG,Bern,Field coordinator in * tool * inside 70% space Biel (city / agglomeration),N,Bern
Geschäftsführer (m/w) 100%,Fredy Wiesner Gastronomie AG,Bern,Managing (m / w) 100%,N,Bern
Geschäftsführer w/m 100%,Restaurant toi et moi,Bern,Managing w / m 100%,N,Bern
Geschäftsführer w/m 100%,Remimag Gastronomie AG,Bern,Managing w / m 100%,N,Bern
Head of Procurement Systems (m/w) 80 - 100%,Schweizerische Bundesbahnen SBB,Bern,Head of Procurement Systems (m / w) 80-100%,N,Bern
Hotel fachfrau mann,Genossenschaft ZFV-Unternehmungen,Bern,Hotel fold woman man,N,Bern
HR-Projektleiter/-in,Die Schweizerische Post,Bern,HR Project Manager / -in,N,Bern
HR-Specialist,Salt Mobile SA,Bern,HR Specialist,N,Bern
Human Resources Generalist (m/w),Grand Casino Kursaal Bern AG,Bern,Human Resources generalist (m / w),N,Bern
IT Programmleiter/in (m/w) 80-100%,Ironforge Consulting AG,Bern,IT Program Manager / in (m / w) 80-100%,N,Bern
"Junior Disponent/in Cargo Vollzeit, Teilzeit möglich",BLS AG,Bern,"Junior dispatcher / Cargo in full-time, part-time possible",N,Bern
Lead Data Scientist (m/w),BKW Energie AG,Bern,Lead Data Scientist (m / f),N,Bern
Lehrstelle 2020 als Kauffrau-/mann in Bern Bärenplatz - Branche Reisebüro,DER Touristik Suisse,Bern,Apprenticeship in 2020 as Kauffrau- / man in Bern Bärenplatz - Business travel agency,N,Bern
Leiter oder Leiterin Verkauf Schweiz,Careerplus AG,Bern,Director or Head of Sales Switzerland,N,Bern
"Leiter des Bereichs Prävention & Information, Mitglied der Geschäftsleitung (80-100%)",Antidoping Schweiz,Bern,"Head of Prevention & Information, Executive Vice President (80-100%)",N,Bern
Leiter Fachführung operativer Einkauf 80 - 100%,Schweizerische Bundesbahnen SBB,Bern,Head of Technical guidance operative purchasing 80 to 100%,N,Bern
"Leiterin/Leiter Abteilung Verwaltung und Betrieb, Mitglied der Geschäftsleitung (80–100 %)",iek Institut für emotionale Kompetenz AG,Bern,"Director / Head of Department of Management and Operation, Executive Vice President (80-100%)",N,Bern
"Leiterin/Leiter Abteilung Verwaltung und Betrieb, Mitglied der Geschäftsleitung (80–100 %)",iek Institut für emotionale Kompetenz AG,Bern,"Director / Head of Department of Management and Operation, Executive Vice President (80-100%)",N,Bern
"Leiterin/Leiter Abteilung Verwaltung und Betrieb, Mitglied der Geschäftsleitung (80–100 %)",iek Institut für emotionale Kompetenz AG,Bern,"Director / Head of Department of Management and Operation, Executive Vice President (80-100%)",N,Bern
Leitung Organisations- und Personalentwicklung (m/w),BKW Energie AG,Bern,Line organization and personnel development (m / f),N,Bern
Leitung Organisations- und Personalentwicklung (m/w),BKW Energie AG,Bern,Line organization and personnel development (m / f),N,Bern
Leitungsassistent/in,BLS AG,Bern,Line assistant / in,N,Bern
Leitungsassistent/in,BLS AG,Bern,Line assistant / in,N,Bern
Market Unit Head,SwissQ Consulting AG,Bern,Market Unit Head,N,Bern
Mitarbeiter/-in CEO-Office PostAuto AG,PostAuto AG,Bern,Employees / -in CEO office PostAuto,N,Bern
Mitarbeiter/in Human Recources 60% (temporär),Dialog Personal AG,Bern,Employees / Human Recources in 60% (temporary),N,Bern
"Mitarbeiterin Payrolling / HR Coordinator 60% , m/w",Kelly Services Burgdorf,Bern,"Associate Payrolling / HR Coordinator 60%, m / w",N,Bern
NachrichtenmoderatorIn / NachrichtenredaktorIn,,Bern,News presenter / NachrichtenredaktorIn,N,Bern
Netzleiter/in bei Betriebsführung Infrastruktur 60 - 100%,Schweizerische Bundesbahnen SBB,Bern,Network / in in operations control infrastructure 60-100%,N,Bern
Oracle Datenbank Spezialist / Consultant (m/w),,Bern,Oracle Database Specialist / Consultant (m / w),N,Bern
Personalentwickler/-in,fenaco Genossenschaft,Bern,Staff developer / -in,N,Bern
Product Manager - Web & Mobile Applications,Touring Club Suisse (TCS),Bern,Product Manager - Web & Mobile Applications,N,Bern
Product Owner Service Management Systeme 80 - 100%,United Security Providers AG,Bern,Product Owner Service Management Systems from 80 to 100%,N,Bern
Product Release Coordinator (w/m),Bernafon AG,Bern,Product Release Coordinator (w / m),N,Bern
Product-Manager IT und Teamleiter (fachlich),"Urs Ledermann & Partner AG, Bern",Bern,Product Manager IT and team leader (technical),N,Bern
Produkt- und Prozessmanager/in Sicherungsanlagen 100%,Schweizerische Bundesbahnen SBB,Bern,Product and Process Manager / in safety installations 100%,N,Bern
Produktmanager/in Romandie,BLS AG,Bern,Product Manager / in Romandie,N,Bern
Project Management Officer,BLS AG,Bern,Project Management Officer,N,Bern
Projektassistent/in Multiprojekte und Ingenieurbau,BLS AG,Bern,Project Assistant / in multi projects and civil engineering,N,Bern
Projektleiter CRM und CEM,"Urs Ledermann & Partner AG, Bern",Bern,Project CRM and CEM,N,Bern
Prozessarchitekt/in 80 - 100%,Schweizerische Bundesbahnen SBB,Bern,Process Architect / in 80-100%,N,Bern
QA Project Manager - CPV implementation,,Bern,implementation CPV - QA Project Manager,N,Bern
Regionalpersonalverantwortliche/r 100% (Region Bern),,Bern,Regional recruiter / r 100% (Area Bern),N,Bern
ReiseberaterIn Bern Bärenplatz (60 - 100% - m/w),DER Touristik Suisse,Bern,Travel agent Bern Bärenplatz (60 - 100% - m / w),N,Bern
"ReiseberaterIn Bern, 100%",Globetrotter Travel Service AG,Bern,"Travel Consultant Bern, 100%",N,Bern
Rezeptionist (m/w),BâleHotels,Bern,Receptionist (m / f),N,Bern
Sachbearbeiter (m/w) 80%,Service Allergie Suisse SA,Bern,Agent (m / m) 80%,N,Bern
"Sachbearbeiter für Jugendlager (w/m), 100%",Auslandschweizer-Organisation,Bern,"Agent for young stock (w / m), 100%",N,Bern
Sachbearbeiter/in Kundenmanagement 80-100%,Kaufmännischer Verband Bern,Bern,Clerk / customer management in 80-100%,N,Bern
Search Engine Optimization Manager (M/W 100%),ads&figures AG,Bern,Search Engine Optimization Manager (M / W 100%),N,Bern
Senior Beraterin 100%,Grass & Partner AG,Bern,Senior Consultant 100%,N,Bern
Senior Beraterin 100%,Grass & Partner AG,Bern,Senior Consultant 100%,N,Bern
Senior Business Engineer,SwissQ Consulting AG,Bern,Senior Business Engineer,N,Bern
"Senior Consultant, 60-100%",PROSE AG,Bern,"Senior Consultant, 60-100%",N,Bern
Senior Fachexperte/in strategische Planung 60 - 100%,Schweizerische Bundesbahnen SBB,Bern,Senior technical expert / strategic planning in 60-100%,N,Bern
Senior Kommunikationsspezialist/-in PR,Die Schweizerische Post,Bern,Senior Communications Specialist / -in PR,N,Bern
Senior Manager Business Development,RUAG,Bern,Senior Manager Business Development,N,Bern
Senior Manager Digital Workplace,ELCA Informatik AG,Bern,Senior Manager Digital Workplace,N,Bern
Senior Personalberater/in 60% und Senior Personalberater/in 80 -100%,swisselect ag,Bern,Senior recruitment consultant / in 60% and senior recruitment consultant / in 80 -100%,N,Bern
"Senior Process Manager Source to Contract"" (m/w) 100%",Schweizerische Bundesbahnen SBB,Bern,"Senior Process Manager Source to Contract ""(m / w) 100%",N,Bern
Senior Quality Assurance Manager,,Bern,Senior Quality Assurance Manager,N,Bern
Social Media Manager (h/f),Touring Club Suisse (TCS),Bern,Social Media Manager (h / f),N,Bern
Specialist Pensionskasse comPlan,Swisscom (Schweiz) AG,Bern,Specialist pension fund comPlan,N,Bern
Spécialiste Secrétariat général (f/h),,Bern,Secretariat Specialist (f / m),N,Bern
Strategische/r Einkäufer/in Claim-Management 80 - 100%,Schweizerische Bundesbahnen SBB,Bern,Strategic / r buyers / in claim management 80-100%,N,Bern
Strategischer Produktmanager Bahnhöfe (m/w) 100%,Schweizerische Bundesbahnen SBB,Bern,Strategic product manager Stations (m / w) 100%,N,Bern
Stv. Geschäftsführer/in 100%,Two Spice AG,Bern,Deputy. Manager / in 100%,N,Bern
Stv. Teamleiter/in Event Service,Casino Bern,Bern,Deputy. Team leader / in Event Service,N,Bern
Teamassistenz des CEO und CFO (m/w),Die Schweizerische Post,Bern,Team Assistant to the CEO and CFO (m / f),N,Bern
Technologischer Anlagenmanager/in Crowd Management 80 - 100%,Schweizerische Bundesbahnen SBB,Bern,Technological Investment Manager / in crowd management 80-100%,N,Bern
Trainee bei MICExperts in Bern (100% - m/w),DER Touristik Suisse,Bern,Trainee at MICExperts in Bern (100% - m / w),N,Bern
Travel Expert Bern Neuengasse,DER Touristik Suisse,Bern,Travel Expert Bern Neuengasse,N,Bern
Umzugsaushilfen (20 - 80% nach Absprache),Welti-Furrer AG,Bern,Moving temporary (20 - 80% by arrangement),N,Bern
Umzugsmitarbeiter/in 80 - 100%,Welti-Furrer AG,Bern,Moving employees / in 80-100%,N,Bern
VP People 80-100%,mimacom ag,Bern,VP People 80-100%,N,Bern
VP People 80-100%,mimacom ag,Bern,VP People 80-100%,N,Bern
VP People 80-100%,mimacom ag,Bern,VP People 80-100%,N,Bern
Payroll Specialist,RUAG,Bern 22,Payroll Specialist,N,Bern
Audi Expert (m/w) 100%,,Bern BE,Audi Expert (m / w) 100%,N,Bern
Architekt/in für Stellwerktechnologie (Signaling),SBB AG,Bern Wankdorf,Architect / in for interlocking technology (Signaling),N,Bern
Prozessmanager/-in Zahlungsverkehr und Fachverantwortliche/-r V-MaX (Kassensystem Filiale),Die Schweizerische Post,Bern Wankdorf,Process Manager / -in payments and Fachverantwortliche / -r V-Max (POS system branch),N,Bern
"IT Performance Consultant (Experienced, Leads & Seniors)",Altersis Performance AG,"Bern, BE","IT Performance Consultant (Experienced, Leads & Seniors)",N,Bern
Teiledienst- / Lagermitarbeiter - Parts Advisor (m/w/d) Bern,,"Bern, Berne",Teiledienst- / warehouse employee - Parts Advisor (m / h / d) Bern,N,Bern
Strategischer Produktmanager Bahnhöfe (m/w),SBB AG,Bern,Strategic product manager Stations (m / w),N,Bern
Assistante RH 50% (H/F),,Berne,HR assistant 50% (M / F),N,Bern
Coursier Berne,bornpower gmbh,Berne,courier Bern,N,Bern
Senior / Principal BDGS Program Director,,"Berne, Switzerland",Senior / Principal BDGS Program Director,N,Bern
Office Manager/in 80-100%,edelline ag,Bern-Liebefeld,Office Manager / in 80-100%,N,Bern
Product Owner - Self Service Data & Insights 80% bis 100%,Swisscom (Schweiz) AG,Bern-Liebefeld,Product Owner - Self Service Data & Insights 80% to 100%,N,Bern
Product Owner 80% bis 100%,Swisscom (Schweiz) AG,Bern-Liebefeld,Product Owner 80% to 100%,N,Bern
Release Train Engineer / VP of Engineering 80% bis 100%,Swisscom (Schweiz) AG,Bern-Liebefeld,Release Train Engineer / VP of Engineering 80% to 100%,N,Bern
Verantwortliche/r Reisen 80-100%,edelline ag,Bern-Liebefeld,Responsible / r travel 80-100%,N,Bern
Ausbildung - Spezialist Bewegungs- und Gesundheitsförderung (SAFS) (m/w/d) Vollzeit,,Bern-Muri,Training - specialist motion and Health Promotion (SAFS) (m / h / d) Full Time,N,Bern
TRAINER (M/W/D) Vollzeit,,Bern-Muri,COACH (M / W / D) Full Time,N,Bern
Verantwortliche/r Marketing-Einkauf 80% bis 100%,Swisscom (Schweiz) AG,Bern-Worblaufen,Responsible / r Marketing Shopping 80% to 100%,N,Bern
6-12 Monate Praktikum als HR Trainee,Salt Mobile SA,Biel,6-12 month internship as a HR trainee,N,Bern
Berufsbildner/in Elektronik und Automation 100%,Stiftung Battenberg,Biel,Vocational trainer / in electronics and automation 100%,N,Bern
Digital Content Project Leader (F/M) 100%,Swatch AG,Biel,Digital Content Project Leader (F / M) 100%,N,Bern
DIREKTIONSASSISTENZ 100 % (M/W),City Hotel,Biel,Direktionsassistenz 100% (M / W),N,Bern
Intiativer Sachbearbeiter Einkauf und Logistik w/m 100%,"Universal-Job AG, Solothurn",Biel,Intiativer agent Procurement and Logistics w / m 100%,N,Bern
Intiativer Sachbearbeiter Einkauf und Logistik w/m 100%,"Universal-Job AG, Solothurn",Biel,Intiativer agent Procurement and Logistics w / m 100%,N,Bern
Leiter m/w Inkasso Firmenkunden 100%,mediserv AG,Biel,Head m / w collection corporate clients 100%,N,Bern
Logistiker (m/w/d),Collini AG,Biel,Logistiker (m / w / d),N,Bern
Partner Manager,Quickline AG,Biel,partner Manager,N,Bern
Partner Manager_in 80-100 %,Quickline AG,Biel,Partner Manager_in 80-100%,N,Bern
Sales / Business Developer Professional,Smart Locker Technology AG,Biel,Sales / Business Developer Professional,N,Bern
HR Specialist,Salt.,Biel/Bienne,HR Specialist,N,Bern
Reiseberater (m/w) in Teilzeit (60%) in Biel,,Biel/Bienne,Travel (m / w) in a part-time (60%) in Biel,N,Bern
Sachbearbeiter/in Einkauf,Contelec AG,Biel/Bienne,Clerk Shopping,N,Bern
Technischer Einkäufer (w/m),Stadler Stahlguss AG,Biel/Bienne,Technical buyers (w / m),N,Bern
Technischer Kaufmann im Einkauf gesucht w/m,"Universal-Job AG, Solothurn",Biel/Bienne,sought technical merchant in the shopping w / m,N,Bern
Kundendienstberater/in für die Marken Jaguar und Land Rover mit Potential zum Teamleiter/in,,Biel/Brügg BE,Customer Service Advisor / in for the brands Jaguar and Land Rover with potential to team leader / in,N,Bern
Mitarbeiter/in Projekte 100 %,Thommen AG,Biel/Thörishaus,Employee / projects in 100%,N,Bern
6-12 Monate Praktikum als HR Trainee,Salt Mobile SA,Bienne,6-12 month internship as a HR trainee,N,Bern
Assistant Brand Manager 100% (M/F),Swatch AG,Bienne,Assistant Brand Manager 100% (M / F),N,Bern
Assistant Brand Manager 100% (M/F),Swatch AG,Bienne,Assistant Brand Manager 100% (M / F),N,Bern
Directeur des ressources humaines,Schilling Partners AG,Bienne,Human Resources Director,N,Bern
Ordonnanceur / Ordonnanceuse,Careerplus AG,Bienne,Scheduler / Ordonnanceuse,N,Bern
PLANIFICATEUR,,Bienne,PLANNER,N,Bern
Mitarbeiter/-in Administration 80 - 100%,drivetek ag,Brügg,Employees / -in Administration 80-100%,N,Aargau
Sachbearbeiter/in Logistik & Einkauf 100%,JAG Jakob AG,Brügg,Clerk / in Logistics & Purchasing 100%,N,Aargau
Sachbearbeiterin Verkauf Innendienst mit Sprachtalent und Exporterfahrung w/m,"Universal-Job AG, Solothurn",Brügg,Clerk Sales Office with voice talent and export experience w / m,N,Aargau
"Teamleiter/in Lager Food (m/w, 100%)",Bigler AG,Büren,"Team leader / bearing in Food (m / w, 100%)",N,Bern
"Leiter Qualität, Sicherheit & Umwelt (100%)",Signal AG,Büren a.A.,"Head of Quality, Safety & Environment (100%)",N,Bern
Sachbearbeiter/in HR Teilzeit 50%-60%,Signal AG,Büren an der Aare,Agent / HR in part time 50% -60%,N,Bern
"Mediamatiker/in 100%, auch Teilzeit möglich",Kunz Kunath AG,Burgdorf,"Mediamatiker / in 100%, even part time possible",N,Bern
Projekt einkäufer(in) (m/w) 100 %,Aebi & Co. AG,Burgdorf,Project purchase (in) (m / w) 100%,N,Bern
"Sachbearbeiter/in Buchhaltung und Personal, 80% - 100%",Stiftung intact,Burgdorf,"Clerk / in accounting and human resources, 80% - 100%",N,Bern
Kauf Mitarbeiter/in 80-100%,Storama AG,Burgistein,Purchasing employees / in 80-100%,N,Bern
Restaurations- Fachfrau/mann 50-100 %,,CH 2501 Biel/Bienne,Restoration expert / man 50-100%,N,Bern
Direktionsassistent (m/w),,CH 2513 Twann,Direktionsassistent (m / w),N,Bern
"Ab sofort Restaurant fachmann / Restaurant fachfrau EFZ, 100% D / F, Anstellung nach L-GAV Bedingungen",,CH 2557 Studen BE,"Immediately restaurant professional / restaurant professional woman EFZ, 100% D / F, job after L-GAV conditions",N,Bern
Verkauf Innendienst/Auftragsbearbeitung 100 %,ZESAR.ch SA,CH 2710 Tavannes,Internal Sales / Order Processing 100%,N,Bern
Projekt/Produkt Manager (M/W) 80 - 100%,DV Bern AG,CH 3000 Bern 22,Project / Product Manager (M / F) 80 to 100%,N,Bern
RESTAURANT LEITUNG (M/W),Energy Kitchen AG,CH 3001 Bern,RESTAURANT LINE (M / W),N,Bern
Offene Zivildienst-Stelle | Juni bis September 2020 Gestaltung und Assistenz Kommunikation&Marketing (100%),,CH 3005 Bern,Open community service site | June-September 2020 Design and Assistant Communication & Marketing (100%),N,Bern
Ausbildung in unserer Zimmerei,,CH 3006 Bern,Education in our carpentry,N,Bern
Fachspezialist für Arbeitssicherheit und Gesundheitsschutz (80 - 100%),,CH 3006 Bern,Specialist for Occupational Safety and Health (80 - 100%),N,Bern
"Reiseleitung, Bergführer, Wanderleiter usw.",,CH 3006 Bern,"Tour guides, mountain guides, hiking guides, etc.",N,Bern
Lehrstelle Hotelfachfrau/-mann EFZ Schulhotel Regina,,CH 3007 Bern,Apprenticeship hotel / -mann EFZ school Regina,N,Bern
