Description,Employer,Location,Translation,Multiple,State
Supplier Quality Engineer 100%,kopter group ag,Mollis,Supplier Quality Engineer 100%,N,Glarus
Lernende/r System gastronomie fachfrau/-mann EFZ (Beginn 2020),,Niederurnen,Learning / r Systemgastronomie / -mann EFZ (start 2020),N,Glarus
"ReiseberaterIn Rapperswil, 80% - 100%",Globetrotter Travel Service AG,Rapperswil,"Travel Consultant Rapperswil, 80% - 100%",N,Sankt Gallen
Sales und Partner Manager (m/w) im Aussendienst,bexio AG,Rapperswil,Sales and Partner Manager (m / f) in the field service,N,Sankt Gallen
Leiter Verkauf und Marketing (w/m),Matthias Döll GmbH,Rapperswil-Jona,Sales and Marketing Manager (m / f),N,Sankt Gallen
Leiter Qualität (IATF 16949),Feinstanz AG,Rapperswil-Jona,Head of Quality (IATF 16949),N,Sankt Gallen
Berater/Projektleiter Informaticon Finanzsoftware (m/w/d),Informaticon AG,"Rapperswil-Jona, Schweiz",Consultant / Project Informaticon financial software (m / w / d),N,Sankt Gallen
Betriebsleiter (m/w) 100%,,Region Zürich,Manager (m / w) 100%,N,Zurich
Selbständiges Verkaufstalent Region Zürich,,Region Zürich,Independent sales talent Region Zurich,N,Zurich
Recruiting Partner/ Recruiting Partnerin,Careerplus AG,Rheintal,Recruiting Partner / Recruiting partner,N,Sankt Gallen
Sachbearbeiter/in Qualitätssicherung,Menzi Muck AG,Rüthi,Clerk / in quality assurance,N,Sankt Gallen
Elektroinstallateur/in EFZ mit Kontrollberechtigung gemäss NIV oder in Ausbildung dazu (FA) 100%,Schweizerische Bundesbahnen SBB,Sargans,Electrician / EFZ with control authority according NIV or in training to (FA) 100%,N,Sankt Gallen
Mitarbeiter/In Marketing & Organisation,Wild & Küpfer AG,Schmerikon,Employees / in Marketing & Organization,N,Sankt Gallen
Praktikant HR (m/w/d),Kunststoff Schwanden AG,Schwanden,Intern HR (f / m / d),N,Glarus
Programmmanager / Projektleiter Automotive (m/w/d),Kunststoff Schwanden AG,Schwanden,Program Manager / Project Automotive (m / w / d),N,Glarus
HR Business Partner 70 - 90% (m/w),Autoneum Switzerland AG,Sevelen,HR Business Partner 70 to 90% (w / w),N,Sankt Gallen
Strategischer Einkäufer / strategische Einkäuferin,Careerplus AG,St. Galler Rheintal,Strategic Buyer / Strategic Buyer,N,Sankt Gallen
Lernender Restaurantfachmann EFZ w/m,Remimag Gastronomie AG,Weesen,Student restaurant specialist EFZ w / m,N,Sankt Gallen
