Category,Description,Employer,Location,Multiple,State,Translation
ECON,IT-Prozessmanager Kundenservice und Dienstleistungen 80 - 100 % (m/w),AEW Energie AG,Aarau,N,Aargau,IT Process Manager Customer Services and 80-100% (w / w)
ECON,IT-Prozessmanager Strom 80 - 100 % (m/w),AEW Energie AG,Aarau,N,Aargau,IT Process Manager current 80-100% (w / w)
ECON,"Leiter Eventproduktion, 100%",Zeitpol AG,Aarau,N,Aargau,"Head of Event Production, 100%"
ECON,Logistiker EFZ/EBA 100%,Job 3000 AG,Aarau,N,Aargau,Logisticians EFZ / EBA 100%
ECON,Management System Beauftragte/r mit Schwerpunkt Umweltschutz (60-80%),Swissgrid AG,Aarau,N,Aargau,Management System Officer / r with focus on environmental protection (60-80%)
ECON,ONLINE MARKETING SPEZIALIST,NoData,Aarau,N,Aargau,ONLINE MARKETING SPECIALIST
ECON,Procurement Manager/in Planer- & Ingenieurleistungen (80 - 100%),swissgrid ag,Aarau,N,Aargau,Procurement Manager / Planner in & engineering (80 - 100%)
ECON,Rangier-Spezialisten/in SBB Cargo,SBB AG,Aarau,N,Aargau,Shunting specialists / in SBB Cargo
ECON,ReiseberaterIn Aarau (40 - 60% - m/w),DER Touristik Suisse,Aarau,N,Aargau,Travel agent Aarau (40 - 60% - m / w)
ECON,"ReiseberaterIn Aarau, 100%",Globetrotter Travel Service AG,Aarau,N,Aargau,"Travel Consultant Aarau, 100%"
ECON,Sachbearbeiter technischer Verkauf (w/m) 100%,H. Rüetschi AG  Glockenguss und Kirchturmtechnik,Aarau,N,Aargau,Officer technical sales (w / m) 100%
ECON,Sachbearbeiter technischer Verkauf (w/m) 100%,H. Rüetschi AG  Glockenguss und Kirchturmtechnik,Aarau,N,Aargau,Officer technical sales (w / m) 100%
ECON,Senior Digital Consultant 80-100%,Previon Plus AG,Aarau,N,Aargau,Senior Consultant Digital 80-100%
ECON,Team Leader Strategischer Einkauf 100% (w/m/d),Robert Half,Aarau,N,Aargau,Team Leader Strategic Sourcing 100% (w / m / d)
ECON,Ausschreibung Geschäftsstelle Swiss College of Surgeons m/w 100%,Schweizerische Gesellschaft für Chirurgie,Aarau AG,N,Aargau,Tender office Swiss College of Surgeons m / w 100%
ECON,Internship Corporate Sustainability / Learning and Development,Franke Group,Aarburg,N,Aargau,Internship Corporate Sustainability / Learning and Development
ECON,technische Einkäufer/-in,neXt work ag,Aargau,N,Aargau,technical buyers / -in
ECON,technische Einkäufer/-in,neXt work ag,Aargau,N,Aargau,technical buyers / -in
ECON,Betriebsassistent mit Bankettverantwortung w/m 100%,Remimag Gastronomie AG,Birrwil,N,Aargau,Operation assistant w banquet responsibility / m 100%
ECON,Lernender Restaurantfachmann EFZ w/m,Remimag Gastronomie AG,Birrwil,N,Aargau,Student restaurant specialist EFZ w / m
ECON,Praktikant Betriebsassistenz w/m 100%,Remimag Gastronomie AG,Birrwil,N,Aargau,Intern operation assistant w / m 100%
ECON,Aussenhandel / Exportfachmann/-frau - Spedition,BRUGG KABEL AG,Brugg,N,Aargau,Foreign trade / export / -frau - Spedition
ECON,Sachbearbeiterin Verkauf Innendienst mit Sprachtalent und Exporterfahrung w/m,"Universal-Job AG, Solothurn",Brügg,N,Aargau,Clerk Sales Office with voice talent and export experience w / m
ECON,Bereichsleiter Elektroinstallationen und Mitglied der Geschäftsleitung (m/w/d),Eniwa AG,Buchs AG,N,Aargau,Head of electrical installations and member of the Executive (m / w / d)
ECON,Bereichsleiter Elektroinstallationen und Mitglied der Geschäftsleitung (m/w/d),Eniwa AG,Buchs AG,N,Aargau,Head of electrical installations and member of the Executive (m / w / d)
ECON,Marketing Coordinator (m/w),Mibelle AG,Buchs AG,N,Aargau,Marketing Coordinator (m / f)
ECON,Lehrstelle als Restaurantfachmann / Restaurantfachfrau EFZ,Parkresort Rheinfelden Holding AG,CH 4310 Rheinfelden,N,Aargau,Apprenticeship as a restaurant manager / Restaurantfachfrau EFZ
ECON,SEO Marketing Spezialist,NoData,CH 4310 Rheinfelden,N,Aargau,SEO Marketing Specialist
ECON,Speditionskaufmann/-frau (m/w/d),Frigo-Trans Schweiz GmbH,CH 4314 Zeiningen,N,Aargau,Speditionskaufmann / woman (m / w / d)
ECON,Auszubildende Restaurationsfachfrau EFZ/EBA ( August 2020),NoData,CH 4663 Aarburg,N,Aargau,Trainees restoration specialist EFZ / EBA (August 2020)
ECON,Leiter Business Solutions (SAP Beratung) Mitglied der Geschäftsleitung (w/m),GIA Informatik AG,CH 4665 Oftringen,N,Aargau,Head of Business Solutions (SAP Consultancy) Member of the Executive (w / m)
ECON,Lehrstelle Strassentransportfachmann/-frau EFZ (2020-2023),Giezendanner Transport AG,CH 4852 Rothrist,N,Aargau,Apprenticeship road transport / -frau EFZ (2020-2023)
ECON,MitarbeiterIn Auftragsabwicklung,Schöni Transport AG,CH 4852 Rothrist,N,Aargau,Order Processing Platform
ECON,Transportdisponenten/-in,Schöni Transport AG,CH 4852 Rothrist,N,Aargau,Transportation dispatchers / -in
ECON,Lernende Strassentransportfachfrau-mann EFZ Oel-Pool,Lagerhäuser Aarau AG,CH 5000 Aarau,N,Aargau,Learners road transport expert-man EFZ Oel-Pool
ECON,Senior Digital Consultant (80-100%),Previon Plus AG,CH 5000 Aarau,N,Aargau,Senior Digital Consultant (80-100%)
ECON,Fachspezialistin/Fachspezialisten Marketing Web 60%,Aargauer Kunsthaus,CH 5001 Aarau,N,Aargau,Trade specialist / specialists Marketing Web 60%
ECON,Praktikum / Aushilfe Marketing - Kommunikation (Headquarter),Swisslog AG,CH 5033 Buchs AG,N,Aargau,Internship / temporary jobs Marketing - Communications (Headquarter)
ECON,Disponent Dreier Ouest,Dreier AG,CH 5034 Suhr,N,Aargau,Booker triple Ouest
ECON,Disponent Nationale Transporte,Dreier AG,CH 5034 Suhr,N,Aargau,Booker Nationwide transport services
ECON,Projektleiter/Consultant Qualitätsmanagement-Software (80%),NoData,CH 5034 Suhr,N,Aargau,Project Manager / Consultant Quality Management Software (80%)
ECON,Fitness Instruktor/in und Marketing Spezialist/in mit Stellvertretung Betriebsleitung 100%,NoData,CH 5102 Rupperswil,N,Aargau,Fitness Instructor / in and marketer / in with delegate management 100%
ECON,"Selbständigerwerbende Anbieter von Sport-, Fitness- oder Gesundheitsdienstleistungen im Mietverhältnis",NoData,CH 5102 Rupperswil,N,Aargau,"Self-employed provider of sports, fitness or health services in the tenancy"
ECON,Stv. Leiter/in Empfang und Spa (100%),NoData,CH 5116 Schinznach Bad,N,Aargau,Subst. / In reception and Spa (100%)
ECON,Stv. Leiter/in Küche (100%),NoData,CH 5116 Schinznach Bad,N,Aargau,Deputy. / In kitchen (100%)
ECON,Geschäftsführer COO (m/w),Swiss Direct Marketing AG,CH 5200 Brugg AG,N,Aargau,Managing COO (m / w)
ECON,PraktikantIn Online Marketing (m/w) 100%,Sintratec AG,CH 5200 Brugg AG,N,Aargau,Intern Online Marketing (m / w) 100%
ECON,Leiter/in Strategie & Geschäftsentwicklung,Gebr. Knecht AG,CH 5210 Windisch,N,Aargau,Director / Strategy Business & in
ECON,Senior Support Consultant,Coresystems AG,CH 5210 Windisch,N,Aargau,Senior Support Consultant
ECON,MitarbeiterIn Gäste-Beratung und Service-Team 50-70 %,NoData,CH 5225 Bözberg,N,Aargau,Platform guests consultancy and service team 50-70%
ECON,Assistent Marketing 100% (w/m),OFRAG Vertriebsgesellschaft,CH 5242 Lupfig,N,Aargau,Assistant Marketing 100% (w / w)
ECON,Fahrzeuginspektor/in (Ausbildung on the job möglich),CARTEC Carrosserie-Technik AG,CH 5242 Lupfig,N,Aargau,Vehicle Inspector / in (training on the job possible)
ECON,Restaurantfachfrau/-mann 100%,NoData,CH 5245 Habsburg,N,Aargau,Restaurant / -mann 100%
ECON,Division Manager (m/f) Electrical Engineer,INP Schweiz AG,CH 5300 Turgi,N,Aargau,Division Manager (m / f) Electrical Engineer
ECON,Junior Division Manager (m/f) Electrical Engineer,INP Schweiz AG,CH 5300 Turgi,N,Aargau,Junior Division Manager (m / f) Electrical Engineer
ECON,Supervisor (m/f) GIS,INP Schweiz AG,CH 5300 Turgi,N,Aargau,Supervisor (m / f) GIS
ECON,Betriebsökonom FH mit Fokus auf Unternehmenssteuerung und Controlling (m/w),Kernkraftwerk Leibstadt AG,CH 5325 Leibstadt,N,Aargau,Bachelor of Business Administration with a focus on corporate management and Controlling (m / w)
ECON,Marketing Assistent (w/m),NoData,CH 5325 Leibstadt,N,Aargau,Marketing Assistant (m / f)
ECON,Account Management Support (6 Monate befristet),Avectris AG,CH 5400 Baden,N,Aargau,(Temporary 6 months) Account Management Support
ECON,Bereichsleiter Compliance & Legal w/m (100%),Grand Casino Baden AG,CH 5400 Baden,N,Aargau,Head Compliance & Legal w / m (100%)
ECON,"Digital-Projektmanager (w/m, 100%)",NoData,CH 5400 Baden,N,Aargau,"Digital project manager (w / m, 100%)"
ECON,Lead Buyer,LB Logistikbetriebe AG,CH 5400 Baden,N,Aargau,lead Buyer
ECON,Partner Manager,Avectris AG,CH 5400 Baden,N,Aargau,partner Manager
ECON,Quality Management,Infocentric Research AG,CH 5400 Baden,N,Aargau,Quality management
ECON,Reiseberater/in mit Herzblut für den Norden (100%),NoData,CH 5400 Baden,N,Aargau,Travel consultant / in with passion for the North (100%)
ECON,Dynamics 365 Business Central/NAV Berater-in/Projektleiter-in,NoData,CH 5405 Dättwil AG,N,Aargau,Dynamics 365 Business Central / NAV Consultant-in / Project-in
ECON,Dynamics 365 FO Berater/in Finanzen (80% - 100%),NoData,CH 5405 Dättwil AG,N,Aargau,Dynamics 365 FO adviser / in finance (80% - 100%)
ECON,Product Manager (w/m),Twerenbold Reisen AG,CH 5406 Baden-Rütihof,N,Aargau,Product Manager (m / f)
ECON,Export Administrator spare parts (w/m),Liebherr-Export AG,CH 5415 Nussbaumen AG,N,Aargau,Export Administrator spare parts (w / m)
ECON,Trainer gesucht,NoData,CH 5430 Wettingen,N,Aargau,coach wanted
ECON,Business Development Manager,Starcom AG,CH 5432 Neuenhof,N,Aargau,Business Development Manager
ECON,Marktbearbeitungsspezialist / Junior Account Manager,Starcom AG,CH 5432 Neuenhof,N,Aargau,Marketing specialist / Junior Account Manager
ECON,MitarbeiterIn Marketing Services 60 - 80% (m/w/d),AGRO AG,CH 5502 Hunzenschwil,N,Aargau,Platform Marketing Services 60-80% (w / w / d)
ECON,einen Restaurationsfachangestellten m/w,NoData,CH 5600 Lenzburg,N,Aargau,a restoration clerk m / w
ECON,Veranstaltungsfachmann Schwerpunkt Audio,Winkler Livecom AG,CH 5610 Wohlen AG,N,Aargau,Event specialist focus Audio
ECON,Veranstaltungsfachmann Schwerpunkt Licht,Winkler Livecom AG,CH 5610 Wohlen AG,N,Aargau,Event specialist focus light
ECON,Veranstaltungsfachmann Schwerpunkt Video,Winkler Livecom AG,CH 5610 Wohlen AG,N,Aargau,Event specialist focus Video
ECON,Leiter Elektroinstallationen (m/w) und Mitglied der GL,Gemeindewerke Villmergen,CH 5612 Villmergen,N,Aargau,Head of Electrical Installations (m / w) and a member of GL
ECON,Senior Berater,NoData,CH 5702 Niederlenz,N,Aargau,Senior Advisor
ECON,Product Manager/in Accessories & Merchandising,Suzuki Automobile Schweiz AG,CH 5745 Safenwil,N,Aargau,Product Manager / in Accessories & Merchandising
ECON,Disponent,NoData,CH 8957 Spreitenbach,N,Aargau,Booker
ECON,Elektroinstallateur als Berater für den Support (m/w/d),Messerli Informatik AG,CH 8957 Spreitenbach,N,Aargau,Electrician as a consultant for support (m / w / d)
ECON,Möbelmonteur,Jubex Transporte AG,CH 8957 Spreitenbach,N,Aargau,furniture fitters
ECON,Service Operations Director (w/m/d),Schneider Electric (Schweiz) AG,"CH-Bern-Ittigen, CH-Waadt-Waadt-Renens, CH-Aargau-Aargau-Wettingen",N,Aargau,Service Operations Director (w / m / d)
ECON,Assistent Projekt Management w/m,Axpo Power AG,Döttingen,N,Aargau,Assistant Project Management w / m
ECON,Senior Project Manager (100%) Bertschi China Bertschi,BERTSCHI AG,Dürrenäsch,N,Aargau,Senior Project Manager (100%) Bertschi China Bertschi
ECON,Sprachtalent und Fachperson Finanzen- und Personalwesen 50 - 100% (m/w),"Universal-Job AG, Aarau",Grossraum Aarau,N,Aargau,Voice talent and expert finance 'and HR 50-100% (w / w)
ECON,kaufmännische/-r Sachbearbeiter/-in für die Auftragsabwicklung und Lagerlogistik (50-60%) - Sie habe,PKS Personal- & Kaderselektion AG,Kaiseraugst,N,Aargau,commercial / r Sachbearbeiter / -in for order processing and warehouse logistics (50-60%) - You have
ECON,"Einkaufsassistent/in 100%, ab sofort oder nach Vereinbarung",Job Solution AG,Kanton Aargau,N,Aargau,"Purchasing Assistant / in 100%, immediately or by appointment"
ECON,Payroll Spezialist / Payroll Spezialistin 40-60%,Careerplus AG,Kanton Aargau,N,Aargau,Payroll Specialist / Payroll Specialist 40-60%
ECON,Payroll Spezialist / Payroll Spezialistin 40-60%,Careerplus AG,Kanton Aargau,N,Aargau,Payroll Specialist / Payroll Specialist 40-60%
ECON,Payroll Spezialist / Payroll Spezialistin 40-60%,Careerplus AG,Kanton Aargau,N,Aargau,Payroll Specialist / Payroll Specialist 40-60%
ECON,Zoll deklarant für Koblenz/ Waldshut | Spedition,punkt personal AG,Koblenz AG,N,Aargau,Customs deklarant for Koblenz / Waldshut | carrier
ECON,Assistent Kraftwerksleiter (m/w),Kernkraftwerk Leibstadt AG,Leibstadt,N,Aargau,Assistant plant manager (m / f)
ECON,Assistent Kraftwerksleiter (m/w),Kernkraftwerk Leibstadt AG,Leibstadt,N,Aargau,Assistant plant manager (m / f)
ECON,Assistent Kraftwerksleiter (m/w),Kernkraftwerk Leibstadt AG,Leibstadt,N,Aargau,Assistant plant manager (m / f)
ECON,Purchaser Copacking 100% m/w,Hero AG,Lenzburg,N,Aargau,Purchaser Copacking 100% w / w
ECON,Purchaser Copacking 100% m/w,Hero AG,Lenzburg,N,Aargau,Purchaser Copacking 100% w / w
ECON,Polymechaniker als technischer Kaufmann!,Mitsubishi Chemical Advanced Materials Composites AG,Lenzburg AG,N,Aargau,Polymechaniker in technical business!
ECON,Mediamatiker (m/w),Frama Suisse AG,Lupfig,N,Aargau,Mediamatiker (m / w)
ECON,Marketing Manager in Kommunikation B2B,NoData,Mägenwil,N,Aargau,Marketing Manager in communication B2B
ECON,Marketing Manager in Kommunikation BRACK.CH,NoData,Mägenwil,N,Aargau,Marketing Manager in communication BRACK.CH
ECON,Marketing Manager*in Kommunikation BRACK.CH,Competec,Mägenwil,N,Aargau,Marketing Manager * in communications BRACK.CH
ECON,Payroll Specialist (80-100%),hauswartprofis AG,Mägenwil,N,Aargau,Payroll Specialist (80-100%)
ECON,Pricing Manager in E-Commerce,NoData,Mägenwil,N,Aargau,Pricing Manager in E-Commerce
ECON,Product Manager in E-Mobilität,NoData,Mägenwil,N,Aargau,Product Manager in E-mobility
ECON,"Product Manager in Server, Storage & Netzwerk",NoData,Mägenwil,N,Aargau,"Product Manager in Server, Storage & Network"
ECON,Product Manager*in E-Mobilität,Competec,Mägenwil,N,Aargau,* Product Manager in E-mobility
ECON,"Product Manager*in Server, Storage & Netzwerk",Competec,Mägenwil,N,Aargau,"* Product Manager in Server, Storage & Network"
ECON,Qualitätsbeauftragte/r Reinigungsbranche,hauswartprofis AG,Mägenwil,N,Aargau,Quality Manager / r cleaning industry
ECON,Sachbearbeiter Verkauf / Marketing (D/F/I) 60-100%,Wilhelm Sihn AG,Mägenwil,N,Aargau,Officer Marketing (D / F / I) Sales / 60-100%
ECON,Disponent Strassentransport (m/w) 100 %,Galliker Transport AG,möhlin,N,Aargau,Booker road transport (m / w) 100%
ECON,Bereichsleiter/-in Logistik 100 %,STOBAG AG,Muri AG,N,Aargau,Director / -in Logistik 100%
ECON,"Verantwortlicher Supply Chain & Procurement, Service (m/w)",GE Renewable Energy,Oberentfelden,N,Aargau,"Responsible Supply Chain & Procurement, Service (m / w)"
ECON,Exportsachbearbeiter/in mit guten Französischkenntnissen,"Universal-Job AG, Aarau",Raum Aarau,N,Aargau,Export Clerk / in with good knowledge of French
ECON,HR Generalist mit Drive (w/m),Human Professional Personalberatung AG,Raum Aarau,N,Aargau,HR generalist Drive (w / m)
ECON,HR-Experte / HR-Expertin,Careerplus AG,Raum Aarau,N,Aargau,HR Expert / HR expert
ECON,HR Business Support 50-80%,Manpower SA,Region Zofingen,N,Aargau,HR Business Support 50-80%
ECON,Sachbearbeiter/in Export & Verkaufssupport,Mittelland-Personal AG,Region Zofingen,N,Aargau,Clerk / in Export & Sales Support
ECON,Gastgeber/in und Betriebsleiter/in 100%,MAVEA AG,Rothrist,N,Aargau,Host / in and manager / in 100%
ECON,Chauffeur/-euse Strasse C/E,railCare,Schafisheim,N,Aargau,Driver / -euse Strasse C / E
ECON,Planer / Disponent (m/w) 100%,Ferrum AG,Schafisheim,N,Aargau,Planner / dispatcher (m / w) 100%
ECON,Stv. Leiter/in Empfang Thermalbäder und Spa,Bad Schinznach AG,Schinznach-Bad,N,Aargau,Deputy. Director / receive thermal baths and spa
ECON,Technical Trainer (m/w) 100%,NoData,Schinznach-Bad AG,N,Aargau,Technical Trainer (m / w) 100%
ECON,Chauffeur/Chauffeuse Arealmanagement,MIGROS Verteilzentrum Suhr AG,Suhr,N,Aargau,Driver / Fireside Arealmanagement
ECON,Logistikmitarbeiter/in Leitstand und Klärplatz,MIGROS Verteilzentrum Suhr AG,Suhr,N,Aargau,Logistics staff / in the control room and Klärplatz
ECON,Projektleiter/-in eCommerce 100%,NoData,Suhr,N,Aargau,Project Manager / -in eCommerce 100%
ECON,Transport Disponent/in 100%,NoData,Suhr,N,Aargau,Transportation dispatcher / in 100%
ECON,HR-Fachfrau / HR-Fachmann,PSI,Villigen,N,Aargau,HR specialist / HR Specialist
ECON,Personalassistentin / Personalassistenten,PSI,Villigen,N,Aargau,Personal Assistant / Personal Assistant
ECON,Executive Assistant (m/w) 80 – 100 %,ALPHA Beratungs AG,Wettingen,N,Aargau,Executive Assistant (m / w) 80-100%
ECON,MARKETING MANAGER,Swiss IT Security AG,Wettingen,N,Aargau,MARKETING MANAGER
ECON,MARKETING MANAGER @Swiss IT Security AG,Swiss IT Security AG,Wettingen,N,Aargau,MARKETING MANAGER @Swiss IT Security AG
ECON,MitarbeiterIn Medienstelle/MediensprecherIn (40 - 60%),Nagra Nationale Genossenschaft,Wettingen,N,Aargau,Platform media center / media speaker (40 - 60%)
ECON,Leiter/in Strategie & Geschäftsentwicklung,Gebr. Knecht AG,Windisch,N,Aargau,Director / Strategy Business & in
ECON,Lernende Strassentransportfachmann/-frau EFZ,NoData,Windisch,N,Aargau,Learners Road Transport / -frau EFZ
ECON,Reiseberater/in 100% | Windisch,EUROBUS AG,Windisch,N,Aargau,Travel consultant / in 100% | Windisch
ECON,Umzugsaushilfen,Welti-Furrer AG,Windisch,N,Aargau,Moving temporary
ECON,MARKETING FACHFRAU-/ MANN (30-50%),ARBOR Fluidtec AG,Wohlen,N,Aargau,MARKETING FACHFRAU- / MAN (30-50%)
ECON,Mitarbeiterin Kundendienst/Export (m/w),HUNTER Personal,Wohlen,N,Aargau,Associate Customer Service / Export (m / f)
ECON,"Aussendienstmitarbeiter/-in gern auch Quereinsteiger (m,w,d) gesucht 100% (Vertrieb)",United Media AG,Wohlen AG,N,Aargau,"Sales Representative / -in like also newcomers (m, f, d) wanted 100% (Sales)"
ECON,Logistician / Lager arbeiter 100% (2-Schicht oder Nachtschicht),Workmanagement AG,Wohlen AG,N,Aargau,Logistician / warehouse worker 100% (2-layer or night shift)
ECON,Vife Grafikdesigner aufgepasst!,Camille Bauer Metrawatt AG,Wohlen AG,N,Aargau,Vife graphic designer watch out!
ECON,Leiter / -in operative Beschaffung,Huba Control AG,Würenlos,N,Aargau,Leiter / -in operational procurement
ECON,Lernende/r Systemgastronomiefachfrau/-mann EFZ (Beginn 2020),NoData,Würenlos,N,Aargau,Learning / r Systemgastronomie / -mann EFZ (start 2020)
ECON,Sachbearbeiter Inkasso und Personaladministration (m/w) 100 %,StWZ Energie AG,Zofingen,N,Aargau,Agent collection and administration of personnel (m / w) 100%
ECON,SektorleiterIn Unterhaltsreinigung 100% ZÜRICH-WINTERTHUR,qualiServ AG,Zofingen,N,Aargau,Sector Head Maintenance cleaning 100% ZURICH-WINTERTHUR
ECON,Customer fulfillment order & support Internship (m/f/d) 100%,IKEA AG,Zürich (Spreitenbach),N,Aargau,Customer order fulfillment support & Internship (m / f / d) 100%
ECON,Grow with IKEA - Das Einstiegsprogramm für zukünftige Führungspersonen bei IKEA (Spreitenbach),IKEA AG,Zürich (Spreitenbach),N,Aargau,Grow with IKEA - The entry-level program for future leaders at IKEA (Spreitenbach)
ECON,IT Systems Engineer / Leiter der Geschäftsstelle (m/w),NoData,Grossraum Baden,N,Aargau,IT Systems Engineer / Head of office (m / f)
ECON,Wir suchen! Freundlicher Sachbearbeiter Auftragsabwicklung (w/m),"Universal-Job AG, Baden",Grossraum Baden,N,Aargau,We are looking for! Friendly agent order processing (w / m)
ECON,Junior Export Specialist,Global Kader Personal,Grossraum Baden/AG,N,Aargau,Junior Export Specialist
ECON,Betriebsleiter (m/w) 100%,NoData,Region Zürich,N,Zürich,Manager (m / w) 100%
ECON,Selbständiges Verkaufstalent Region Zürich,NoData,Region Zürich,N,Zürich,Independent sales talent Region Zurich
ECON,Business Development Manager/in,Fastlog AG,Derendingen,N,Solothurn,Business Development Manager / in
ECON,HSE & Quality Manager/in,Fastlog AG,Derendingen,N,Solothurn,HSE & Quality Manager / in
ECON,Sachbearbeiter/In Import/Export – Control Tower 100 %,Fastlog AG,Derendingen,N,Solothurn,Clerk / In Import / Export - Tower 100%
ECON,Supply Chain Manager (w/m),forteq Nidau AG,Derendingen,N,Solothurn,Supply Chain Manager (w / m)
ECON,Disponent/in Spedition Landverkehre Imp./ Exp.,punkt personal AG,Basel,N,Basel,Booker / in forwarding overland transport Imp./ Exp.
ECON,Speditions kauffrau/-mann Seefracht Export,punkt personal AG,Basel,N,Basel,Freight forwarding clerk / househusband Seafreight Export
ECON,Speditions kaufmann/ -frau Luftfracht Export,punkt personal AG,Basel,N,Basel,Freight forwarding business man / woman Airfreight Export
ECON,stellvertretende Leiterin / stellvertretenden Leiter (80 bis 100 %),Eskamed AG,Basel,N,Basel,Deputy Director / deputy head (80 to 100%)
ECON,Teamleiter Purchasing & Procurement (strategischer und operativer Einkauf ICT),a & u Kaderberatung AG,Basel,N,Basel,Team Leader Purchasing & Procurement (strategic and operative purchasing ICT)
ECON,Teamleiter Purchasing & Procurement (strategischer und operativer Einkauf ICT),a & u Kaderberatung AG,Basel,N,Basel,Team Leader Purchasing & Procurement (strategic and operative purchasing ICT)
ECON,Product Owner (m/w),Endress+Hauser Process Solutions AG,Reinach,N,Basel,Product Owner (m / f)
ECON,Prozessmanager (m/w),Batterman Consulting Basel AG,Füllinsdorf,N,Basel,Process Manager (m / f)
ECON,Centerleitung,Kestenholz Automobil AG,Oberwil,N,Basel,Center line
ECON,Quality und Complaint Manager (m/w),Endress+Hauser Flowtec AG,Reinach,N,Basel,Quality and Complaint Manager (m / f)
ECON,Ausbildung - Spezialist Bewegungs- und Gesundheitsförderung (SAFS) (m/w/d) Vollzeit,NoData,Bern-Muri,N,Bern,Training - specialist motion and Health Promotion (SAFS) (m / h / d) Full Time
ECON,TRAINER (M/W/D) Vollzeit,NoData,Bern-Muri,N,Bern,COACH (M / W / D) Full Time
ECON,Sachbearbeiter (m/w) 80%,Service Allergie Suisse SA,Bern,N,Bern,Agent (m / m) 80%
ECON,"Senior Consultant, 60-100%",PROSE AG,Bern,N,Bern,"Senior Consultant, 60-100%"
ECON,"Sachbearbeiter/in Buchhaltung und Personal, 80% - 100%",Stiftung intact,Burgdorf,N,Bern,"Clerk / in accounting and human resources, 80% - 100%"
ECON,Kauf Mitarbeiter/in 80-100%,Storama AG,Burgistein,N,Bern,Purchasing employees / in 80-100%
ECON,HR Assistentin 40% (m/w),Impirio AG,Grossraum Biel,N,Bern,HR assistant 40% (w / w)
ECON,Logistik- oder Einkaufs-Spezialist/In mit internat. Erfahrung 80 - 100% befristet,STOBAG AG,Muri,N,Bern,Logistics or purchasing specialist / In with international experience. 80 - 100% limited
ECON,Bereichsleitung Kommunikation & Services 80-100% als Mitglied der Geschäftsleitung,Berner Bauern Verband,Ostermundigen,N,Bern,Head of Communications & Services 80-100% as a member of the Executive Board
ECON,Leiter Finanzen und Personal 80-100%,Mittelland-Personal AG,Region Langenthal,N,Bern,Head of Finance and Human Resources 80-100%
ECON,Leiter Finanzen und Personal 80-100%,Mittelland-Personal AG,Region Langenthal,N,Bern,Head of Finance and Human Resources 80-100%
ECON,Leiter Finanzen und Personal 80-100%,Mittelland-Personal AG,Region Langenthal,N,Bern,Head of Finance and Human Resources 80-100%
ECON,"Leiter Qualitätsmanagement / Head QA (80%-100%, m,w)",P-CONNECT - Executive Search,Region Mittelland,N,Bern,"Head of Quality Management / QA Head (80% -100%, m, w)"
ECON,QS-Manager (m/w) 100 %,"oprandi & partner ag, zürich",Region Mittelland,N,Bern,QA Manager (m / w) 100%
ECON,QS-Manager (m/w) 100 %,"oprandi & partner ag, zürich",Region Mittelland,N,Bern,QA Manager (m / w) 100%
ECON,Personalassistentin,"Global Personal Partner AG, Geschäftsstellen",Thun,N,Bern,personal assistant
