Description,Employer,Location,Translation,Multiple,State
Web Application Architect (PHP/Magento/Akeneo),Unic AG,Bern oder Zürich,Web Application Architect (PHP / Magento / Akeneo),Y,Bern
IT - Business Consultant (m/w),ParMag AG,Bern und/oder Zürich,IT - Business Consultant (m / w),Y,Bern
Business Analyst (w/m),ParMag AG,"Bern, Basel und Zürich",Business Analyst (m / f),Y,Bern
Consultant Senior Java (H/F) (pour la Romandie),adesso Schweiz AG,"Bern, Lausanne",Senior Java Consultant (M / F) (for Romandie),Y,Bern
.NET Software-Architekt/in (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",.NET Software Architect / in (80-100%),Y,Bern
.NET Software-Ingenieur/in (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",.NET Software Engineer / in (80-100%),Y,Bern
Java Software-Architekt/in (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",Java software architect / in (80-100%),Y,Bern
Java Software-Ingenieur/in (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",Java Software Engineer / in (80-100%),Y,Bern
Senior Java Software-Ingenieur/in (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",Senior Java Software Engineer / in (80-100%),Y,Bern
Software-Ingenieur/in für Embedded-Systeme (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",Software Engineer / in for embedded systems (80-100%),Y,Bern
Software-Ingenieur/in JEE (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",Software Engineer / in JEE (80-100%),Y,Bern
Webentwickler/in (80-100%),bbv Software Services AG,"Bern, Luzern, Zug, Zürich",Webentwickler / in (80-100%),Y,Bern
Client Engagement Manager (f/m/d),itelligence AG,"Bern, Regensdorf",Client Engagement Manager (f / m / d),Y,Bern
JavaScript Entwickler (w/m/d),itelligence AG,"Bern, Regensdorf",JavaScript Developer (f / m / d),Y,Bern
SAP Consultant S/4HANA Finanzen & Controlling,itelligence AG,"Bern, Regensdorf",SAP Consultant S / 4hana Financial Officer,Y,Bern
SAP Entwickler / Developer (w/m/d),itelligence AG,"Bern, Regensdorf",SAP developer / developer (w / m / d),Y,Bern
SAP Frontend Developer (w/m/d),itelligence AG,"Bern, Regensdorf",SAP Front Developer (w / m / d),Y,Bern
SAP Senior Entwickler / Developer (m/w/d),itelligence AG,"Bern, Regensdorf",SAP Senior Developer / Developer (m / w / d),Y,Bern
SAP Senior S/4HANA Entwickler / Developer (w/m),itelligence AG,"Bern, Regensdorf",SAP Senior S / 4hana Developer / Developer (m / f),Y,Bern
SAP Technology Consultant (w/m/d),itelligence AG,"Bern, Regensdorf",SAP Technology Consultant (w / m / d),Y,Bern
Senior SAP Basis Administrator (w/m/d),itelligence AG,"Bern, Regensdorf",Senior SAP Basis Administrator (m / f / d),Y,Bern
Senior SAP Technology Consultant (w/m/d),itelligence AG,"Bern, Regensdorf",Senior SAP Technology Consultant (w / m / d),Y,Bern
Webentwickler JavaScript (w/m/d),itelligence AG,"Bern, Regensdorf",Webentwickler JavaScript (w / m / d),Y,Bern
Radio Network Engineer 80 - 100 %,ENKOM,"Bern, Sursee",Radio Network Engineer 80-100%,Y,Bern
Radio Network Engineer 80 - 100 %,,"Bern, Sursee",Radio Network Engineer 80-100%,Y,Bern
Senior Radio Network Engineer 80-100 %,,"Bern, Sursee",Senior Radio Network Engineer 80-100%,Y,Bern
Software-Ingenieur/in Qt (80-100%),bbv Software Services AG,"Bern, Zug, Zürich",Software engineer / Qt (80-100%),Y,Bern
Frontend Angular Entwickler (m/w),adesso Schweiz AG,"Bern, Zürich",Angular frontend developer (m / f),Y,Bern
Senior Software Consultant (m/w),adesso Schweiz AG,"Bern, Zürich",Senior Software Consultant (m / w),Y,Bern
Trainee zum Junior Software Engineer / Entwickler (all genders),Accenture,"Bern, Zürich",Trainee for Junior Software Engineer / Developer (all genders),Y,Bern
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,"Bern, Zürich oder Basel",Senior Engineer Security 80% to 100%,Y,Bern
Angular Developer,ERNI Schweiz AG,Bern/ Zürich,angular Developer,Y,Bern
Senior Angular Developer,ERNI Schweiz AG,Bern/ Zürich,Senior Angular Developer,Y,Bern
Senior Software Engineer Java,ERNI Schweiz AG,Bern/ Zürich,Senior Software Engineer Java,Y,Bern
Software Architect,ERNI Schweiz AG,Bern/ Zürich,software Architect,Y,Bern
Software Engineer Java,ERNI Schweiz AG,Bern/ Zürich,Java Software Engineer,Y,Bern
Requirements Engineer,ERNI Schweiz AG,Bern/Zürich,Requirements Engineer,Y,Bern
Scrum Master / Agile Coach,ERNI Schweiz AG,Bern/Zürich,Scrum Master / Agile Coach,Y,Bern
Payroll/HR-Spezialist für ERP-Beratung (w/m) 80-100%,p4b ag,Berner Seeland,Payroll / HR Specialist for ERP consulting (w / m) 80-100%,Y,Bern
Senior Cloud Software Engineer Java 80% bis 100%,Swisscom (Schweiz) AG,Bern-Ittigen oder Zürich,Senior Software Engineer Java Cloud 80% to 100%,Y,Bern
Software Engineer 80% bis 100%,Swisscom (Schweiz) AG,Bern-Ittigen oder Zürich,Software Engineer 80% to 100%,Y,Bern
DevOps Telco Cloud Network Engineer 80% bis 100%,Swisscom (Schweiz) AG,Bern-Ittigen or Zurich,DevOps Cloud Telco Network Engineer 80% to 100%,Y,Bern
Senior Cloud Software Engineer Java 80% bis 100%,Swisscom (Schweiz) AG,Bern-Ittigen or Zurich,Senior Software Engineer Java Cloud 80% to 100%,Y,Bern
Senior Architect Banking 80% bis 100%,Swisscom (Schweiz) AG,Bern-Ittigen und Zürich,Senior Architect banking 80% to 100%,Y,Bern
Senior Testmanager (m/w),stepwise AG,"Deutschschweiz, vornehmlich Bern",Senior Test Manager (m / f),Y,Bern
Product Operations Manager AutoScout24 (m/w/d),Scout24 Schweiz AG,Flamatt / Zürich,Product Operations Manager AutoScout24 (m / w / d),Y,Multiple
Senior Android Developer (ImmoScout24) m/f/d,Scout24 Schweiz AG,Flamatt / Zürich,Senior Android Developer (ImmoScout24) m / f / d,Y,Multiple
Senior Backend Developer Autoscout24/ Motoscout24 (.NET/C#) (f/m/d),Scout24 Schweiz AG,Flamatt / Zürich,Senior backend Developer Autoscout24 / MotoScout24 (.NET / C #) (f / m / d),Y,Multiple
Software Developer Ruby on Rails (100 %),GARAIO AG,in Bern und Zürich,Software Developer Ruby on Rails (100%),Y,Bern
Spezialist Business Intelligence 50-100% (m/w),WAGNER AG,Kirchberg BE oder Rümlang ZH,Specialist Business Intelligence 50-100% (w / w),Y,Bern
Application Manager Finnova 80% bis 100%,Swisscom (Schweiz) AG,Luzern oder Bern-Ittigen,Application Manager Finnova 80% to 100%,Y,Bern
SOFTWARE-INGENIEUR/IN FÜR EMBEDDED-SYSTEME (80-100%),bbv Software Services AG,"Luzern, Zug, Bern, Zürich",SOFTWARE ENGINEER / IN FOR EMBEDDED SYSTEMS (80-100%),Y,Bern
ICT Solution Engineer 80% bis 100%,Swisscom (Schweiz) AG,"Olten, Bern und Luzern",ICT Solution Engineer 80% to 100%,Y,Bern
Business Intelligence Reporting Specialist (m/w),Swiss Bankers Prepaid Services AG,Raum Bern oder Zürich,Business Intelligence Reporting Specialist (m / f),Y,Bern
IT-Security Engineer (m/w) in Reinach oder Gümligen,,Reinach oder Gümligen,IT Security Engineer (m / f) in Reinach or Gümligen,Y,Bern
Network Engineer (m/w) in Reinach oder Gümligen,,Reinach oder Gümligen,Network Engineer (m / f) in Reinach or Gümligen,Y,Bern
Principal Consultant in der Software Entwicklung (Medtech/Health) / Mitglied des Kaders,Erni Suisse SA,Zürich / Bern,Principal Consultant in software development (Medtech / Health) / Member of Management,Y,Bern
Requirements Engineer,Erni Suisse SA,Zürich / Bern,Requirements Engineer,Y,Bern
Scrum Master / Agile Coach,Erni Suisse SA,Zürich / Bern,Scrum Master / Agile Coach,Y,Bern
Senior DevOps Engineer,ERNI Schweiz AG,Zürich / Bern,Senior DevOps Engineer,Y,Bern
Senior DevOps Engineer,Erni Suisse SA,Zürich / Bern,Senior DevOps Engineer,Y,Bern
Senior Embedded Software Engineer C++,ERNI Schweiz AG,Zürich / Bern,Senior Embedded Software Engineer C ++,Y,Bern
Senior Test Automation Engineer,Erni Suisse SA,Zürich / Bern,Senior Test Automation Engineer,Y,Bern
Software Architect,Erni Suisse SA,Zürich / Bern,software Architect,Y,Bern
Software Engineer Java,Erni Suisse SA,Zürich / Bern,Java Software Engineer,Y,Bern
Test Automation Engineer,ERNI Schweiz AG,Zürich / Bern,Test Automation Engineer,Y,Bern
(Senior) Consultant SAP BI / SAP Advanced Analytics (80-100%),emineo AG,Zürich oder Bern,(Senior) Consultant SAP BI / SAP Advanced Analytics (80-100%),Y,Bern
(Senior) Consultant SAP PPM (80-100%),emineo AG,Zürich oder Bern,(Senior) Consultant SAP PPM (80-100%),Y,Bern
Agile Software Engineer - Applications,RUAG,Zürich oder Bern,Agile Software Engineer - Applications,Y,Bern
Consultant Digital Business,Thoma & Partner Management Consulting AG,Zürich oder Bern,Consultant Digital Business,Y,Bern
ICT Architect 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,ICT Architect 80% to 100%,Y,Bern
Junior / Professional Fullstack Engineer (80-100%),emineo AG,Zürich oder Bern,Junior / Professional Full Stack Engineer (80-100%),Y,Bern
PL/SQL Software Engineer Oracle 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,PL / SQL Software Engineer Oracle 80% to 100%,Y,Bern
Senior Fullstack Engineer (80-100%),emineo AG,Zürich oder Bern,Senior Full Stack Engineer (80-100%),Y,Bern
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,Senior Engineer Security 80% to 100%,Y,Bern
Senior Software Engineer (80-100%),emineo AG,Zürich oder Bern,Senior Software Engineer (80-100%),Y,Bern
Software-Architekt (80-100%),emineo AG,Zürich oder Bern,Software Architect (80-100%),Y,Bern
Trainee ICT 100%,Swisscom (Schweiz) AG,Zürich oder Bern,Trainee ICT 100%,Y,Bern
Senior SAP Technology Consultant 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern-Woblaufen,Senior SAP Technology Consultant 80% to 100%,Y,Bern
(Senior) SAP Technology Consultant 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern-Worblaufen,(Senior) SAP Technology Consultant 80% to 100%,Y,Bern
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,Zurich or Bern,Senior Engineer Security 80% to 100%,Y,Bern
Praktikant/in Software Engineering,AdNovum Informatik AG,"Zürich, Bern",Intern / in Software Engineering,Y,Bern
Senior IAM Engineer,AdNovum Informatik AG,"Zürich, Bern Lausanne",Senior IAM Engineer,Y,Bern
Java Architect,ELCA Informatik AG,"Zurich, Bern or Basel",Java Architect,Y,Bern
Java full stack Developer / Senior Java full stack Developer,ELCA Informatik AG,"Zurich, Bern or Basel",Java full stack Developer / Senior Java Developer full stack,Y,Bern
Web Developer (Angular),ELCA Informatik AG,"Zurich, Bern or Basel",Web Developer (Angular),Y,Bern
Senior Business Analyst,ELCA Informatik AG,"Zürich, Bern or Basel",Senior Business Analyst,Y,Bern
Principal Consultant Enterprise Architect,Erni Suisse SA,Zürich/Bern,Principal Consultant Enterprise Architect,Y,Bern
Senior Embedded Software Engineer C++,Erni Suisse SA,Zürich/Bern,Senior Embedded Software Engineer C ++,Y,Bern
Software Engineer Java,ERNI Schweiz AG,Zürich/Bern,Java Software Engineer,Y,Bern
Test Automation Engineer,Erni Suisse SA,Zürich/Bern,Test Automation Engineer,Y,Bern
Infrastructure Security Engineer,Swatch Group,2501 Biel/Bienne,Infrastructure Security Engineer,N,Bern
Regional Information Security Officer,Swatch Group,2501 Biel/Bienne,Regional Information Security Officer,N,Bern
SAP Senior Business Analyst CS,Swatch Group,2501 Biel/Bienne,SAP Senior Business Analyst CS,N,Bern
Senior SAP Material Master Data Manager,Swatch Group,2501 Biel/Bienne,Senior SAP Material Master Data Manager,N,Bern
Software Engineers C/C++,libC Technologies SA,3003 Berne,Software Engineers C / C ++,N,Bern
"C#/.NET Applikationsentwickler (w/m), 80-100%",Mathys & Scheitlin AG,3018 Bern,"C # /. NET application developer (w / m), 80-100%",N,Bern
"C#/.NET Software Engineer (w/m), 80-100%",Mathys & Scheitlin AG,3018 Bern,"C # /. NET Software Engineer (m / f), 80-100%",N,Bern
Verantwortungsvollen MS SQL-Datenbank Spezialisten (m/w),Mathys & Scheitlin AG,3018 Bern,Responsible MS SQL database specialists (m / w),N,Bern
"ABACUS BERATER DL, PRODUKTION SCHÖNBÜHL (W/M) 80-100 %",Axept Business Software AG,3322 Bern,"ABACUS BERATER DL, PRODUCTION SCHÖNBÜHL (W / M) 80-100%",N,Bern
Software-Entwickler/-in C# (Aarau),GeoWerkstatt GmbH,Aarau,Software Developer / -in C # (Aarau),N,Aargau
Network/System-Engineer 100% (w/m),MST Systemtechnik AG,Belp,Network / System Engineer 100% (w / w),N,Bern
.NET Software Architect,Akros AG,Bern,.NET Software Architect,N,Bern
(Senior) Business Analyst / Requirements Engineer m/w 60 - 100%,e3 AG,Bern,(Senior) Business Analyst / Requirements Engineer m / w 60 to 100%,N,Bern
(Senior) Functional Consultant Dynamics 365 FO (AX),ELCA Informatik AG,Bern,(Senior) Consultant Functional Dynamics 365 FO (AX),N,Bern
(Senior) ICT Architekt/in (m/w) 80-100%,Ironforge Consulting AG,Bern,(Senior) ICT an architect / in (m / w) 80-100%,N,Bern
Account Manager / Sales Cyber Security 100%,United Security Providers AG,Bern,Account Manager / Sales Cyber ​​Security 100%,N,Bern
Analytics Data Quality Manager (w/m),PostFinance,Bern,Analytics Data Quality Manager (m / f),N,Bern
Android Software-Ingenieur,ti&m AG,Bern,Android Software Engineer,N,Bern
Application Manager Senior,,Bern,Application Manager Senior,N,Bern
Applikation Engineer,Harvey Nash AG,Bern,application Engineer,N,Bern
Applikationsentwickler Fullstack oder Backend 80-100% (m/w/d),Hays (Schweiz) AG,Bern,Application developers full stack or backend 80-100% (w / w / d),N,Bern
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,Bern,ApplikationsentwicklerIn 80-100%,N,Bern
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,Bern,ApplikationsentwicklerIn 80-100%,N,Bern
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,Bern,ApplikationsentwicklerIn 80-100%,N,Bern
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,Bern,ApplikationsentwicklerIn 80-100%,N,Bern
Backend Software Engineer,AdNovum Informatik AG,Bern,Backend Software Engineer,N,Bern
"Berufsbildner Webentwicklung, UX Design m/w (80% - 100%)",ICT Berufsbildungscenter AG,Bern,"Vocational trainer web development, UX Design m / w (80% - 100%)",N,Bern
Big Data Software Engineer 80% bis 100%,Swisscom (Schweiz) AG,Bern,Big Data Software Engineer 80% to 100%,N,Bern
Business Intelligence Consultant,ELCA Informatik AG,Bern,Business Intelligence Consultant,N,Bern
Business Process Specialist Stammdaten SAP MDG (m/w),Die Schweizerische Post,Bern,Business Process Specialist Master Data SAP MDG (m / f),N,Bern
Camunda BPM Consultant,UMB AG,Bern,Camunda BPM Consultant,N,Bern
Cloud Data Architect mit einem Flair für AI,ti&m AG,Bern,Cloud Data Architect with a flair for AI,N,Bern
Consultant (m/w/d) Enterprise Architecture Management,MID GmbH,Bern,Consultant (m / w / d) Enterprise Architecture Management,N,Bern
Consultant UX / Designer,ERNI Schweiz AG,Bern,Consultant UX / designer,N,Bern
Consultant UX / Designer,Erni Suisse SA,Bern,Consultant UX / designer,N,Bern
Controller und Projektleiter,"Urs Ledermann & Partner AG, Bern",Bern,Controller project and,N,Bern
Customer Relationship Manager (80%),Feusi Bildungszentrum,Bern,Customer Relationship Manager (80%),N,Bern
Data Analyst,Comfone AG,Bern,Data analyst,N,Bern
Data Engineer,ELCA Informatik AG,Bern,Data Engineer,N,Bern
Data Scientist 80% bis 100%,Swisscom (Schweiz) AG,Bern,Data Scientist 80% to 100%,N,Bern
Data Scientist Software Analytics 80% bis 100%,Swisscom (Schweiz) AG,Bern,Data Scientist Software Analytics 80% to 100%,N,Bern
"Data-Analyst / Wissenschaftliche Assistenz, 80-100 %",Swisstransplant,Bern,"Data Analyst / Research assistance, 80-100%",N,Bern
Development Test Engineer 80 - 100% (m/w),Comlab AG,Bern,Development Test Engineer 80-100% (w / w),N,Bern
DevOps Security Engineer,AdNovum Informatik AG,Bern,DevOps Security Engineer,N,Bern
EAI-/SOA-Experten,ti&m AG,Bern,EAI / SOA experts,N,Bern
Embedded Software Engineer (m/w),adesso Schweiz AG,Bern,Embedded Software Engineer (m / f),N,Bern
Enterprise Security Architect (m/w),Die Schweizerische Post,Bern,Enterprise Security Architect (m / w),N,Bern
"Entwickler Microsoft Dynamics Business Central (w/m), 60 - 100%",fox data GmbH,Bern,"Developers Microsoft Dynamics Business Central (w / m), 60-100%",N,Bern
"Entwickler Microsoft Visual Studio (w/m), 60 - 100%",fox data GmbH,Bern,"Developers Microsoft Visual Studio (w / m), 60-100%",N,Bern
ERP Lead Developer / DevOps 80-100% (w/m),p3b AG,Bern,ERP Lead Developer / DevOps 80-100% (w / m),N,Bern
ERP Lead Developer / DevOps 80-100% (w/m),p3b AG,Bern,ERP Lead Developer / DevOps 80-100% (w / m),N,Bern
ERP-/CRM-/DYNAMICS-CONSULTANT (m/w),mühlemann IT-personal ag,Bern,ERP / CRM / DYNAMICS CONSULTANT (m / w),N,Bern
Escalation Manager Network Management 80% bis 100%,Swisscom (Schweiz) AG,Bern,Escalation Manager Network Management 80% to 100%,N,Bern
ETL developer with focus on Oracle PL/SQL,ITech Consult AG,Bern,ETL developer with focus on Oracle PL / SQL,N,Bern
"Fachspezialist/in Web, IT, GIS und Content 80%",Stiftung SchweizMobil,Bern,"Specialist / in Web, IT, GIS and content 80%",N,Bern
Frontend Software Engineer,AdNovum Informatik AG,Bern,Frontend Software Engineer,N,Bern
Frontend Software Engineer,AdNovum Informatik AG,Bern,Frontend Software Engineer,N,Bern
Full Stack Developer,Liip AG,Bern,Full Stack Developer,N,Bern
Full Stack Web Engineer Java,Akros AG,Bern,Full Stack Web Engineer Java,N,Bern
Fullstack EntwicklerIn 80 - 100% (m/w),Wistar Informatik AG,Bern,Full stack EntwicklerIn 80-100% (w / w),N,Bern
Fullstack Java Entwickler (m/w) 80-100% // AEB001,Softcom Technologies SA,Bern,Full Stack Java Developer (m / w) 80-100% // AEB001,N,Bern
Fullstack NET Core C# Entwickler,,Bern,Full Stack NET Core C # developers,N,Bern
ICT Enterprise Architekt/-in für den Fokusbereich ERP und SAP,Die Schweizerische Post,Bern,ICT Enterprise Architect / -in the focus range ERP and SAP,N,Bern
ICT Enterprise Architekt/-in für den Fokusbereich Logistics,Die Schweizerische Post,Bern,ICT Enterprise Architect / -in the focus range Logistics,N,Bern
ICT Process Manager (w/m),Die Schweizerische Post,Bern,ICT Process Manager (m / f),N,Bern
ICT Quality Manager (Junior) (m/w),Die Schweizerische Post,Bern,ICT Quality Manager (Junior) (m / f),N,Bern
INHOUSE ICT SECURITY CONSULTANT (m/w),mühlemann IT-personal ag,Bern,INHOUSE ICT security consultant (m / f),N,Bern
IPX Signalling Engineer 100%,Comfone AG,Bern,IPX Signaling Engineer 100%,N,Bern
IT Architekt,e3 ag,Bern,IT architect,N,Bern
"IT Audit Associate, Digital Risk & Process Analytics- Trade, Industry and Services - Bern",PwC,Bern,"IT Audit Associate, Digital Risk & Process Analytics Trade, Industry and Services - Bern",N,Bern
IT Business Analyst - Bern (m/w),yellowshark AG,Bern,IT Business Analyst - Bern (m / f),N,Bern
IT Projekt Manager Datenaustausch (m/w) 100%,yellowshark AG,Bern,IT Project Manager Data Exchange (m / w) 100%,N,Bern
IT Security Consultant,e3 ag,Bern,IT Security Consultant,N,Bern
Java Architect w/m,,Bern,Java Architect w / m,N,Bern
Java Developer,Sopra Steria AG,Bern,Java Developer,N,Bern
Java Entwickler Wartung und Application Management (m/w),adesso Schweiz AG,Bern,Java developers Maintenance and Application Management (m / f),N,Bern
Java Software Architect,Akros AG,Bern,Java Software Architect,N,Bern
Junior Business Solutions Developer,ELCA Informatik AG,Bern,Junior Business Solutions Developer,N,Bern
Junior Radio Network Engineer,ENKOM,Bern,Junior Radio Network Engineer,N,Bern
Junior Radio Network Engineer 100%,,Bern,Junior Radio Network Engineer 100%,N,Bern
Junior/Mittelstufe/Senior Radio Network Engineer,cirrus44 GmbH,Bern,Junior / Intermediate / Senior Radio Network Engineer,N,Bern
Junior/Mittelstufe/Senior Radio Network Engineer,cirrus44 GmbH,Bern,Junior / Intermediate / Senior Radio Network Engineer,N,Bern
Lead Expert Java,ERNI Schweiz AG,Bern,Lead Expert Java,N,Bern
Lead Expert Java,Erni Suisse SA,Bern,Lead Expert Java,N,Bern
Lead Expert Java,ERNI Schweiz AG,Bern,Lead Expert Java,N,Bern
Linux System Engineer 80 bis 100%,United Security Providers AG,Bern,Linux System Engineer 80 to 100%,N,Bern
Microsoft Datawarehouse Consultant (m/w) - BI / DWH,,Bern,Microsoft Data Warehouse Consultant (m / f) - BI / DWH,N,Bern
Mitarbeiter Fieldservice (m/w) 100%,Alteco Informatik AG,Bern,Staff Field Service (m / w) 100%,N,Bern
Network Security Operator (Junior) 60 bis 100%,United Security Providers AG,Bern,Security Network Operator (Junior) 60 to 100%,N,Bern
Network Support - LAN/WAN,RM IT Professional Resources AG,Bern,Network Support - LAN / WAN,N,Bern
PHP Developer,Liip AG,Bern,PHP Developer,N,Bern
Platform Engineer Container Technologies - Bereich Digital & Innovation (m/w),adesso Schweiz AG,Bern,Platform Engineer Container Technologies - the Digital & Innovation (m / f),N,Bern
Product Owner Integration (w/m),Die Schweizerische Post,Bern,Product Owner Integration (f / m),N,Bern
Product-Manager IT und Teamleiter (fachlich),"Urs Ledermann & Partner AG, Bern",Bern,Product Manager IT and team leader (technical),N,Bern
Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Bern,Professional Embedded C / C ++ Developer / in,N,Bern
Professional Software Engineer C#/.NET,Noser Engineering AG,Bern,Professional NET Software Engineer C # /.,N,Bern
Professional Software Engineer in Java/Web-Applikationen,Noser Engineering AG,Bern,Professional Software Engineer in Java / Web applications,N,Bern
Professional Software Engineer Mobile,Noser Engineering AG,Bern,Professional Software Engineer Mobile,N,Bern
Professional Web Frontend Entwickler/in,Noser Engineering AG,Bern,Professional Web Front End Developer / in,N,Bern
Programmierer oder Junior-Analyst quantitative Aktienbewertungsmodelle (m/w) 80 - 100 %,Valiant Bank AG,Bern,Junior programmer or analyst quantitative stock valuation models (m / w) 80-100%,N,Bern
Projektleiter Microsoft Dynamics Business Central (w/m),fox data GmbH,Bern,Project Manager Microsoft Dynamics Business Central (w / m),N,Bern
Projektleiter/in Public 80-100%,AKROS AG,Bern,Project Manager / Public in 80-100%,N,Bern
React Developer,Comfone AG,Bern,React Developer,N,Bern
ReactJS Entwickler,Pro Informatik GmbH,Bern,ReactJS developer,N,Bern
Release- und Testmanager (w/m) 80-100%,p3b ag,Bern,Release and Test Manager (w / w) 80-100%,N,Bern
Requirements Engineer,AdNovum Informatik AG,Bern,Requirements Engineer,N,Bern
Requirements Engineer (m/w/d) 80-100%,Identitas AG,Bern,Requirements Engineer (m / w / d) 80-100%,N,Bern
SAP Entwickler / Developer (w/m/d),itelligence AG,Bern,SAP developer / developer (w / m / d),N,Bern
SAP Solution Manager Spezialist,ITech Consult AG,Bern,SAP Solution Manager Specialist,N,Bern
Scrum Master (m/w),Die Schweizerische Post,Bern,Scrum Master (m / w),N,Bern
Semantic Web Consultant,Trivadis AG,Bern,Semantic Web Consultant,N,Bern
Semantic Web Consultant,,Bern,Semantic Web Consultant,N,Bern
Senior Application Engineer JAVA,,Bern,Senior Application Engineer JAVA,N,Bern
Senior Applikations Architekt,,Bern,Senior Application Architect,N,Bern
Senior Architekt,ti&m AG,Bern,Senior architect,N,Bern
Senior Enterprise Architect / Solution Architect (80-100%),,Bern,Senior Enterprise Architect / Solution Architect (80-100%),N,Bern
Senior Fullstack SW Developer (m/w) - Projekteinsatz,yellowshark,Bern,Senior Full Stack SW Developer (m / f) - project work,N,Bern
Senior Java Entwickler (m/w) 100%,JOB PARTNER AG,Bern,Senior Java Developer (m / w) 100%,N,Bern
