Description,Employer,Language,Location,Multiple,State,Translation,Category
ICT-Supporter/Systemadministrator,ProtecData AG,,Boswil,N,Aargau,ICT Supporter / System Administrator,IT
Grafiker 50 – 60% (m/w),Art of Work Personalberatung AG,,Brugg,N,Aargau,Grafiker 50 - 60% (w / w),IT
Controls Electrical Engineer (m/w/d),Swisslog,,Buchs,N,Sankt Gallen,Controls Electrical Engineer (m/w/d),IT
Junior Java Software Engineer,Swisslog,,Buchs,N,Sankt Gallen,Junior Java Software Engineer,IT
Controls Commissioning Engineer (m/w/d),Swisslog,,Buchs AG,N,Aargau,Controls Commissioning Engineer (m/w/d),IT
Informatiker als Entwickler (m/w/d) - Schwerpunkt JAVA/JEE,Swisslog,,Buchs AG,N,Aargau,Computer as a developer (m / f / d) - Focus JAVA / JEE,IT
Java EE Software Engineer,Swisslog,,Buchs AG,N,Aargau,Java software Engineer,IT
SAP EWM Consultant (m/w),Swisslog,,Buchs AG,N,Aargau,SAP EWM Consultant (m / w),IT
"Entwicklungsingenieur mit Projektverantwortung (w/m, 80-100%)",,,CH 2540 Grenchen,N,Solothurn,"Development engineer with project responsibility (w / m, 80-100%)",IT
Programmierer,,,CH 4310 Rheinfelden,N,Aargau,programmer,IT
Webdesigner,,,CH 4310 Rheinfelden,N,Aargau,Web designers,IT
Webdeveloper,,,CH 4310 Rheinfelden,N,Aargau,webdeveloper,IT
"Business-IT Consultant mit Affinität zur Unternehmensarchitektur (w/m), 60-100% (Per sofort oder nach Vereinbarung)",XIMIQ AG,,CH 4500 Solothurn,N,Solothurn,"Business IT Consultant with affinity to the enterprise architecture (m / f), 60-100% (immediately or by appointment)",IT
Full Stack Developer IoT (Applikationen) 80%-100% (m/w),CSA Engineering AG,,CH 4500 Solothurn,N,Solothurn,Full Stack Developer IoT (Applikationen) 80%-100% (m/w),IT
Informatik-Lernende/r EFZ Fachrichtung Applikationsentwicklung,Centris AG,,CH 4500 Solothurn,N,Solothurn,Computer science learners / r EFZ specializing in application development,IT
Informatik-Lernender EFZ Fachrichtung Systemtechnik (w/m),Centris AG,,CH 4500 Solothurn,N,Solothurn,Computer science-Student EFZ specialty system technology (w / m),IT
IT-Praktikanten (m/w/d) 100 %,dplan GmbH,,CH 4500 Solothurn,N,Solothurn,Praktikanten IT (m / w / d) 100%,IT
Junior IDM/IAM Engineer,Centris AG,,CH 4500 Solothurn,N,Solothurn,Junior IDM/IAM Engineer,IT
Lehrstelle als Informatiker/in EFZ Applikationsentwicklung 2020,WEBGEARING AG,,CH 4500 Solothurn,N,Solothurn,Apprenticeship as / in EFZ Application Development in 2020,IT
Linux System Engineer,Centris AG,,CH 4500 Solothurn,N,Solothurn,Linux System Engineer,IT
OpenShift Platform Engineer 80-100%,Centris AG,,CH 4500 Solothurn,N,Solothurn,OpenShift Platform Engineer 80-100%,IT
"Senior .NET Developer 100%, m/w",SASIS AG,,CH 4500 Solothurn,N,Solothurn,"Senior .NET Developer 100%, m/w",IT
Senior Application Manager für Digital Services,Centris AG,,CH 4500 Solothurn,N,Solothurn,Senior Application Manager for Digital Services,IT
Software Engineer .Net 60-100% (Per sofort oder nach Vereinbarung),XIMIQ AG,,CH 4500 Solothurn,N,Solothurn,Software Engineer .Net 60-100% (immediately or by appointment),IT
Web Developer Ninja mit PHP Power-Skillz,WEBGEARING AG,,CH 4500 Solothurn,N,Solothurn,Web Developer Ninja mit PHP Power-Skillz,IT
Senior Software Engineer,Intersys AG,,CH 4528 Zuchwil,N,Solothurn,Senior Software Engineer,IT
Junior System Engineer Infrastructure 60 - 100% (m/w),alphaTrust.ch ag,,CH 4542 Luterbach,N,Solothurn,Junior System Engineer Infrastructure 60 - 100% (m/w),IT
Java Software Entwickler,corix AG,,CH 4562 Biberist,N,Solothurn,Java Software Developer,IT
Web- und Applikationsentwickler / in,Paul Büetiger AG,,CH 4562 Biberist,N,Solothurn,Web and application developers / in,IT
System Engineer | Infrastructure Services,,,CH 4563 Gerlafingen,N,Solothurn,System Engineer | Infrastructure Services,IT
System Engineer | Network,,,CH 4563 Gerlafingen,N,Solothurn,System Engineer | Network,IT
Technologie Spezialist | SAP Basis,,,CH 4563 Gerlafingen,N,Solothurn,Technology Specialists | SAP basis,IT
Full-Stack Java/JavaScript Developer 80 - 100% (m/w),InfTec GmbH,,CH 4573 Lohn-Ammannsegg,N,Solothurn,Full-Stack Java/JavaScript Developer 80 - 100% (m/w),IT
"Frontend-Entwickler in, 100%",Eventfrog AG,,CH 4600 Olten,N,Solothurn,Frontend developers in 100%,IT
Google Cloud Data Engineer (m/f),Wabion AG,,CH 4600 Olten,N,Solothurn,Google Cloud Data Engineer (m/f),IT
Microservices-Software-Architekt,MySign AG,,CH 4600 Olten,N,Solothurn,Micro Services Software Architect,IT
"Professional Javascript-/Node-Entwickler in, 100%",Eventfrog AG,,CH 4600 Olten,N,Solothurn,Professional javascript / Node developers in 100%,IT
Software Engineer (m/f) für innovative Projekte mit modernen Web-Technologien,Wabion AG,,CH 4600 Olten,N,Solothurn,Software Engineer (m / f) for innovative projects using modern web technologies,IT
Web Software Engineer,MySign AG,,CH 4600 Olten,N,Solothurn,Web Software Engineer,IT
SAP Berater FI/CO (w/m),GIA Informatik AG,,CH 4665 Oftringen,N,Aargau,SAP Consultant FI / CO (w / m),IT
Praktikant/in Webentwicklung,business + design AG,,CH 4712 Laupersdorf,N,Solothurn,Intern / in Web Development,IT
IT-Security Engineer(in),,,CH 4800 Zofingen,N,Aargau,IT-Security Engineer(in),IT
IT-Security Spezialisten,,,CH 4800 Zofingen,N,Aargau,IT security specialist,IT
Cyber Security Engineer (w/m),terreActive AG,,CH 5000 Aarau,N,Aargau,Cyber Security Engineer (w/m),IT
Data Analyst mit IT Background (w/m),terreActive AG,,CH 5000 Aarau,N,Aargau,Data Analyst mit IT Background (w/m),IT
Developer Program Manager,,,CH 5000 Aarau,N,Aargau,Developer Program Manager,IT
Einstieg in die Cyber Security Welt,terreActive AG,,CH 5000 Aarau,N,Aargau,Entry into the World Cyber ​​Security,IT
Full Stack Software-Entwicklerin (80-100%),GEOWERKSTATT GmbH,,CH 5000 Aarau,N,Aargau,Full Stack Software Developer (80-100%),IT
Praktikant/in Web-Publisher (Mediamatiker/in) 80 -100%,Best-Finance GmbH,,CH 5000 Aarau,N,Aargau,Intern / in Web publishers (Mediamatiker / in) 80 -100%,IT
Security Consultant (w/m),terreActive AG,,CH 5000 Aarau,N,Aargau,Security Consultant (w/m),IT
Senior Application Engineer (w/m/x) 80 - 100%,Ingtes AG,,CH 5000 Aarau,N,Aargau,Senior Application Engineer (w/m/x) 80 - 100%,IT
Senior Frontend Engineer,,,CH 5000 Aarau,N,Aargau,Senior Frontend Engineer,IT
Software Entwickler (60-100%),Bitshifter GmbH,,CH 5000 Aarau,N,Aargau,Software Developer (60-100%),IT
Software-EntwicklerIn C#/.NET (80-100%),GEOWERKSTATT GmbH,,CH 5000 Aarau,N,Aargau,Software EntwicklerIn C # /. NET (80-100%),IT
Softwareentwickler,,,CH 5000 Aarau,N,Aargau,software developer,IT
Softwareentwickler/in InformatikerIn Systemtechnik,,,CH 5000 Aarau,N,Aargau,Software developers / Computer Scientist in Systems Engineering,IT
Web-Applikationsentwickler in Junior (w/m/x) 80 - 100%,Ingtes AG,,CH 5000 Aarau,N,Aargau,Web-Applikationsentwickler in Junior (w/m/x) 80 - 100%,IT
Web entwickler/in (80-100%),Previon Plus AG,,CH 5000 Aarau,N,Aargau,Web developer / in (80-100%),IT
Webentwickler/in mit Fokus Maintenance (80-100%),Previon Plus AG,,CH 5000 Aarau,N,Aargau,Web Developer / in focusing Maintenance (80-100%),IT
(Senior) Controls Software Engineer (m/w/d),Swisslog AG,,CH 5033 Buchs AG,N,Aargau,(Senior) Controls Software Engineer (m/w/d),IT
Informatiker als Entwickler (m/w/d) - Schwerpunkt JAVA/JEE,Swisslog AG,,CH 5033 Buchs AG,N,Aargau,Computer as a developer (m / f / d) - Focus JAVA / JEE,IT
Java EE Software Engineer,Swisslog AG,,CH 5033 Buchs AG,N,Aargau,Java software Engineer,IT
Junior Java Software Engineer,Swisslog AG,,CH 5033 Buchs AG,N,Aargau,Junior Java Software Engineer,IT
Junior Solutions Manager Pharmacy Automation,Swisslog AG,,CH 5033 Buchs AG,N,Aargau,Junior Solutions Manager Pharmacy Automation,IT
Mediamatiker/E-Commerce (m/w) 50%,,,CH 5033 Buchs AG,N,Aargau,Mediamatiker / E-Commerce (m / w) 50%,IT
SAP EWM Consultant (m/w),Swisslog AG,,CH 5033 Buchs AG,N,Aargau,SAP EWM Consultant (m / w),IT
Software Engineer,Swisslog AG,,CH 5033 Buchs AG,N,Aargau,Software Engineer,IT
Software Engineer (System Support Software),Swisslog AG,,CH 5033 Buchs AG,N,Aargau,Software Engineer (System Support Software),IT
Webdesigner (m/w),,,CH 5033 Buchs AG,N,Aargau,Web designer (m / w),IT
Communication Software Engineer,,,CH 5200 Brugg AG,N,Aargau,Communication Software Engineer,IT
Medical Software Engineer m/w (60-100%),Medivation AG,,CH 5200 Brugg AG,N,Aargau,Medical Software Engineer m/w (60-100%),IT
Senior Web Developer m/w (60-100%),Medivation AG,,CH 5200 Brugg AG,N,Aargau,Senior Web Developer m/w (60-100%),IT
Solution Consultant FSM,Coresystems AG,,CH 5210 Windisch,N,Aargau,Solution Consultant FSM,IT
UX/UI Designer,Coresystems AG,,CH 5210 Windisch,N,Aargau,UX / UI Designer,IT
Software Entwickler (m/w) C# .NET,RTM Systems AG,,CH 5242 Lupfig,N,Aargau,Software Developer (m / w) C # .NET,IT
Spezialist für IT Lösungen,AFS all-financial-solutions gmbh,,CH 5242 Lupfig,N,Aargau,Specialist for IT solutions,IT
Application Consultant SAP for Utilities,Avectris AG,,CH 5400 Baden,N,Aargau,Application Consultant SAP for Utilities,IT
Digital Designer 100 % (m/w),,,CH 5400 Baden,N,Aargau,Digital Designer 100 % (m/w),IT
Firewall Engineer,Avectris AG,,CH 5400 Baden,N,Aargau,Firewall Engineer,IT
"IT-Generalist/in, Standort Baden",,,CH 5400 Baden,N,Aargau,"IT Generalist / in, location Baden",IT
Karriereeinstieg ins IT Consulting,Avectris AG,,CH 5400 Baden,N,Aargau,Career entry into the IT Consulting,IT
Lehrstelle als Mediamatiker/in EFZ,,,CH 5400 Baden,N,Aargau,Apprenticeship as computer technicians / EFZ,IT
Praktikant E-Learning und digitale Medien (w/m),HK learning AG,,CH 5400 Baden,N,Aargau,Intern e-learning and digital media (w / m),IT
SAP CRM Lead,Avectris AG,,CH 5400 Baden,N,Aargau,SAP CRM Lead,IT
SAP System Engineer / Technology Consultant SAP Basis,Avectris AG,,CH 5400 Baden,N,Aargau,SAP System Engineer / Technology Consultant SAP Basis,IT
SAP System Engineer Basis,Avectris AG,,CH 5400 Baden,N,Aargau,SAP System Engineer Basis,IT
Security Engineer,Avectris AG,,CH 5400 Baden,N,Aargau,Security Engineer,IT
Senior Consultant SAP CRM,Avectris AG,,CH 5400 Baden,N,Aargau,Senior SAP CRM Consultant,IT
Senior Consultant SAP for Utilities FI-CA,Avectris AG,,CH 5400 Baden,N,Aargau,Senior Consultant SAP FI-CA Utilities,IT
Senior Infrastructure Architect,Avectris AG,,CH 5400 Baden,N,Aargau,Senior Infrastructure Architect,IT
Senior SAP Developer IS-U,Avectris AG,,CH 5400 Baden,N,Aargau,Senior SAP Developer IS-U,IT
Senior Solution Architect,Avectris AG,,CH 5400 Baden,N,Aargau,Senior Solution Architect,IT
Software Engineer m/w (80% bis 100%),Grand Casino Baden AG,,CH 5400 Baden,N,Aargau,Software Engineer m / w (80% to 100%),IT
Solution Architekt,andrion ag,,CH 5400 Baden,N,Aargau,Solution architect,IT
Solution Berater,andrion ag,,CH 5400 Baden,N,Aargau,Solution consultant,IT
Solution Engineer,andrion ag,,CH 5400 Baden,N,Aargau,Solution Engineer,IT
Storage Senior System Engineer,Avectris AG,,CH 5400 Baden,N,Aargau,Storage Senior System Engineer,IT
Oracle e-Clinical Solutions Consultant,,,CH 5404 Baden-Dättwil,N,Aargau,Oracle e-Clinical Solutions Consultant,IT
Elektronik-Entwicklungsingenieur (FH/ETH),,,CH 5405 Baden,N,Aargau,Electronics Development Engineer (FH / ETH),IT
Hardware-Entwicklerin/Hardware-Entwickler,Syslogic Datentechnik AG,,CH 5405 Baden-Dättwil,N,Aargau,Hardware developer / hardware developers,IT
Informatiker/in - Systemadministrator,,,CH 5405 Dättwil AG,N,Aargau,Computer / in - System Administrator,IT
Junior Full-Stack Software Developer (w/m) 80 - 100%,iNovitas AG,,CH 5405 Dättwil AG,N,Aargau,Junior Full-Stack Software Developer (w/m) 80 - 100%,IT
Software Engineer (Back-End) (m/w) 80-100%,app-room GmbH,,CH 5405 Dättwil AG,N,Aargau,Software Engineer (Back-End) (m/w) 80-100%,IT
Data Analyst,,,CH 5430 Wettingen,N,Aargau,Data Analyst,IT
Java EBX Entwickler,,,CH 5430 Wettingen,N,Aargau,Java developers EBX,IT
Java Entwickler,Global Pension Solutions GmbH,,CH 5430 Wettingen,N,Aargau,Java Developers,IT
JUNIOR SECURITY ENGINEER @execure ag,Swiss IT Security AG,,CH 5430 Wettingen,N,Aargau,JUNIOR SECURITY ENGINEER @execure ag,IT
JUNIOR SECURITY ENGINEER @execure ag,execure ag,,CH 5430 Wettingen,N,Aargau,JUNIOR SECURITY ENGINEER @execure ag,IT
MDM Solution Expert,,,CH 5430 Wettingen,N,Aargau,MDM Solution Expert,IT
PROGRAMMER @execure ag,Swiss IT Security AG,,CH 5430 Wettingen,N,Aargau,PROGRAMMER @execure ag,IT
PROGRAMMER @execure ag,execure ag,,CH 5430 Wettingen,N,Aargau,PROGRAMMER @execure ag,IT
Entwicklungsingenieur (m/w),Taracell AG,,CH 5444 Künten,N,Aargau,Engineer (m / f),IT
Applikationssupport ERP und Dokumentenmanagement (m/w) 60%-100%,Allix GmbH,,CH 5504 Othmarsingen,N,Aargau,ERP application support and document management (m / w) 60% -100%,IT
Informatiker Fachrichtung Applikationsentwicklung (m/w) 100%,Allix GmbH,,CH 5504 Othmarsingen,N,Aargau,Computer specialty application development (m / w) 100%,IT
Informatiker Fachrichtung Systemtechnik (m/w) 100%,Allix GmbH,,CH 5504 Othmarsingen,N,Aargau,Computer system Specialization (m / w) 100%,IT
Designer Visuelle-Kommunikation m/w - mit Schwerpunkt Orientierungsdesign,,,CH 5600 Lenzburg,N,Aargau,Designer Visual Communication m / w - with a focus on guidance system,IT
Network Engineer 80 - 100% (m/w),HINT AG,,CH 5600 Lenzburg,N,Aargau,Network Engineer 80 - 100% (m/w),IT
Netzwerk-Techniker im Aussendienst Deutsch-Schweiz,LogTIS GmbH,,CH 5606 Dintikon,N,Aargau,Network technicians working in the field German-Switzerland,IT
MitarbeiterInnen im Kühllager (+4 C) ca. 30 % Pensum,FFF Fresh & Frozen Food AG,,CH 5610 Wohlen AG,N,Aargau,Staff in cold storage (+4 C) 30% quota,IT
Software Ingenieur,,,CH 5702 Niederlenz,N,Aargau,software engineer,IT
"IT Application Manager / WirtschaftsinformatikerIn (m/w/d, 100%)",Mammut Sports Group AG,,CH 5703 Seon,N,Aargau,"IT Application Manager / Business and Computer Science (m / w / d, 100%)",IT
"Senior Material Developer (m/w/d, 100%)",Mammut Sports Group AG,,CH 5703 Seon,N,Aargau,"Senior Material Developer (m/w/d, 100%)",IT
IT-System- & Netzwerktechniker 80-100% (w/m),,,CH 5726 Unterkulm,N,Aargau,IT system & network engineer 80-100% (w / w),IT
Software Engineer 80-100% (w/m),,,CH 5726 Unterkulm,N,Aargau,Software Engineer 80-100% (w/m),IT
Entwicklungsingenieur SPS-Programmierung,bürge-fischer ag,,CH 5745 Safenwil,N,Aargau,Development Engineer PLC programming,IT
"Lehrstelle als Informatiker EFZ, Applikationsentwicklung (m/w/d)",Messerli Informatik AG,,CH 8957 Spreitenbach,N,Aargau,"Apprenticeship as a computer EFZ, application development (f / m / d)",IT
"Lehrstelle als Informatiker EFZ, Richtung Systemtechnik (m/w/d)",Messerli Informatik AG,,CH 8957 Spreitenbach,N,Aargau,"Apprenticeship as a computer EFZ, System Technology (m / w / d)",IT
Softwareingenieur C# (w/m/d),Messerli Informatik AG,,CH 8957 Spreitenbach,N,Aargau,Softwareingenieur C# (w/m/d),IT
"(Senior) Citrix System Engineer, 80-100%",Netree AG,,Däniken,N,Solothurn,"(Senior) Citrix System Engineer, 80-100%",IT
SAP Basis Technologie Spezialist (m/w) 80 - 100%,Somnitec AG,,Gerlafingen,N,Solothurn,SAP Basis Technology Specialist (m / w) 80 - 100%,IT
Business Analyst/-in SAP CO,ETA,,Grenchen,N,Solothurn,Business Analyst/-in SAP CO,IT
ICT-Applikationsmanager/-in Sorting Systems,Die Schweizerische Post,,Härkingen,N,Solothurn,ICT-Applikationsmanager/-in Sorting Systems,IT
Service Manager/-in,Die Schweizerische Post,,Härkingen,N,Solothurn,Service Manager/-in,IT
Service Manager/-in,Die Schweizerische Post,,Härkingen,N,Solothurn,Service Manager/-in,IT
Junior Sales / Berater Cloud ERP Business Software,myfactory Software Schweiz AG,,Hunzenschwil,N,Aargau,Junior Sales / Consultant Cloud ERP Business Software,IT
Validation Lead (m/f),Datalynx AG,,Kaiseraugst,N,Aargau,Validation Lead (m/f),IT
Software Entwickler .NET – IT-Unternehmen,Gfeller Consulting & Partner AG,,Kanton Solothurn,N,Solothurn,Software Developer .NET - IT companies,IT
Integration Services Developer 80 - 100%,finnova AG Bankware,,Lenzburg,N,Aargau,Integration Services Developer 80 - 100%,IT
Software Engineer 80 - 100%,finnova AG Bankware,,Lenzburg,N,Aargau,Software Engineer 80 - 100%,IT
Software Entwickler (m/w) 80% - 100%,VIS Consulting AG,,Lenzburg,N,Aargau,Software Developer (m / w) 80% - 100%,IT
Technical Operation Manager,finnova AG Bankware,,Lenzburg,N,Aargau,Technical Operation Manager,IT
Integration Services Developer 80 - 100%,finnova AG,,Lenzburg AG,N,Aargau,Integration Services Developer 80 - 100%,IT
Software Engineer 80 - 100%,finnova AG,,Lenzburg AG,N,Aargau,Software Engineer 80 - 100%,IT
Mediamatiker (m/w),Frama Suisse AG,,Lupfig,N,Aargau,Mediamatiker (w / w),IT
OT-CSIRT Senior Incident Responder m/w 80% - 100%,Axpo WZ-Systems AG,,Lupfig,N,Aargau,OT-CSIRT Senior Incident Responder m/w 80% - 100%,IT
IT Projektleiter ERP (m/w),yellowshark AG,,Luzern,N,Luzern,IT Projektingenieur ERP (m / w),IT
IT SERVICES & SOLUTIONS ARCHITECT (F/M) ZU BECHTLE.,Bechtle Schweiz AG,,Mägenwil,N,Aargau,IT SERVICES & SOLUTIONS ARCHITECT (F/M) ZU BECHTLE.,IT
IT-Supporter in (ICT-Techniker in) 80 - 100%,,,Mägenwil,N,Aargau,IT support in (ICT technicians in) 80 to 100%,IT
Junior Business Intelligence (BI) Developer in,,,Mägenwil,N,Aargau,Junior Business Intelligence (BI) Developer in,IT
Software/Application Engineer (m/w) Digitales Bauen (VDC/BIM-Methode) Wissenschaftliche/r Mitarbeit,Fachhochschule Nordwestschweiz FHNW,,Muttenz,N,Basel,Software / Application Engineer (m / f) Digital Construction (VDC / BIM method) Scientific / r employees,IT
Linux System Engineer 80-100% (m/w),Medifilm AG,,Oensingen,N,Solothurn,Linux System Engineer 80-100% (m/w),IT
SAP Berater FI/CO (w/m),GIA Informatik AG,,Oftringen,N,Aargau,SAP Consultant FI / CO (w / m),IT
SAP-Berater / SAP Consultant Logistik (PP) (m/w),GIA Informatik AG,,Oftringen,N,Aargau,SAP Consultant / SAP Consultant Logistics (PP) (m / w),IT
SAP-Berater / SAP Consultant Logistik (PP/PS) (w/m),GIA Informatik AG,,Oftringen,N,Aargau,SAP Consultant / SAP Consultant Logistics (PP / PS) (w / m),IT
"Application Manager Full Time, 80%",camptocamp SA,,Olten,N,Solothurn,"Application Manager Full Time, 80%",IT
"Front End Developer Full Time, 80%",camptocamp SA,,Olten,N,Solothurn,"Front End Developer Full Time, 80%",IT
IT Generalist & Business Analyst (Contract-to-Hire),IQ PLUS AG,,Olten,N,Solothurn,IT Generalist & Business Analyst (Contract-to-Hire),IT
Senior Consultant Business Analyst ERP,Camptocamp SA,,Olten,N,Solothurn,Senior Consultant Business Analyst ERP,IT
JUNIOR NETWORK ENGINEER,Bechtle Schweiz AG,,Pratteln,N,Basel,JUNIOR NETWORK ENGINEER,IT
Senior Software Engineer für Web- und Mobileapplikationen (m/w) 100%,JLS DIGITAL AG,,Raum Olten,N,Solothurn,Senior Software Engineer for Web and mobile applications (m / w) 100%,IT
Embedded Software Entwickler C/C++ (m/w),swisselect ag,,Raum Solothurn,N,Solothurn,Embedded Software Developer C / C ++ (m / f),IT
ICT Supporter (m/w) 100%,mbb moser ag,,Recherswil,N,Solothurn,ICT Supporter (m/w) 100%,IT
Exklusiv - SAP Inhouse Berater Logistics (w/m/d),BROMsolutions AG Binningen BL,,Region Aarau,N,Aargau,Exclusive - SAP Inhouse Consultant Logistics (m / f / d),IT
Senior System Engineer (Inhouse),Nordwand Group AG,,Region Aarau,N,Aargau,Senior System Engineer (Inhouse),IT
Angular Frontend Developer/-in 80-100%,,,Region Basel,N,Basel,Angular Frontend Developer/-in 80-100%,IT
Hardware EntwicklerIn VHDL/FPGA 80-100%,Novotec Engineering AG,,Region Zürich,N,Zurich,Hardware EntwicklerIn VHDL / FPGA 80-100%,IT
Java Software Engineer 80-100%,Novotec Engineering AG,,Region Zürich,N,Zurich,Java Software Engineer 80-100%,IT
"Applikationsingenieur (m/w/d) Maschinenbau & Engineering, Reinach BL",,,Reinach,N,Basel,"Application Engineer (m / w / d) Machine & Engineering, Reinach BL",IT
