Currency,Pricing,Number of rooms,Appt Size,Address,Place,Kanton,Region,Language,Secondary
CHF,1240,2,41,"Buchenweg 5, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1250,2,0,"Vorstadt 2, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,990,2,47,"Mitteldorfstrasse 64, 5033 Buchs AG",Buchs AG,Aargau,Middle-North,German,None
CHF,1085,1.5,57,"Mitteldorfstrasse 74, 5033 Buchs AG",Buchs AG,Aargau,Middle-North,German,None
CHF,1140,2,50,"Aarauerstrasse 2, 5033 Buchs AG",Buchs AG,Aargau,Middle-North,German,None
CHF,810,1,30,"Hauptstrasse 24, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,920,1.5,28,"Steinackerstrasse 1, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1000,1.5,30,"Hauptstrasse 23, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1047,2,45,"Buchenweg 11, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1070,1.5,45,"Habsburgerstrasse 36, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1140,1.5,50,"Hauptstrasse 39, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1165,1,30,"Hauptstrasse 23, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1240,2,41,"Buchenweg 5, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1250,2,0,"Vorstadt 2, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,990,2,47,"Mitteldorfstrasse 64, 5033 Buchs AG",Buchs AG,Aargau,Middle-North,German,None
CHF,1085,1.5,57,"Mitteldorfstrasse 74, 5033 Buchs AG",Buchs AG,Aargau,Middle-North,German,None
CHF,1140,2,50,"Aarauerstrasse 2, 5033 Buchs AG",Buchs AG,Aargau,Middle-North,German,None
CHF,1260,1.5,51,"Segelhofstrasse 34a, 5405 Dättwil AG",Dättwil AG,Aargau,Middle-North,German,None
CHF,1260,1.5,51,"Segelhofstrasse 34a, 5405 Dättwil AG",Dättwil AG,Aargau,Middle-North,German,None
CHF,600,1,30,"Hauptstrasse 46, 5212 Hausen AG",Hausen AG,Aargau,Middle-North,German,None
CHF,650,1,0,"Obere Holzgasse 9, 5212 Hausen AG",Hausen AG,Aargau,Middle-North,German,None
CHF,1020,1.5,43,"Stückstrasse 20, 5212 Hausen AG",Hausen AG,Aargau,Middle-North,German,None
CHF,600,1,30,"Hauptstrasse 46, 5212 Hausen AG",Hausen AG,Aargau,Middle-North,German,None
CHF,650,1,0,"Obere Holzgasse 9, 5212 Hausen AG",Hausen AG,Aargau,Middle-North,German,None
CHF,1020,1.5,43,"Stückstrasse 20, 5212 Hausen AG",Hausen AG,Aargau,Middle-North,German,None
CHF,1350,2,66,"Brunnengasse 10, 5426 Lengnau AG",Lengnau AG,Aargau,Middle-North,German,None
CHF,1350,2,66,"Brunnengasse 10, 5426 Lengnau AG",Lengnau AG,Aargau,Middle-North,German,None
CHF,900,1.5,0,"Rösslimattstrasse 13, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1010,1.5,40,"Zürcherstrasse 31, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1380,1.5,65,"Luzernerstrasse 15c, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1416,1.5,65,"Luzernerstrasse 15c, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1570,1.5,71,"Zürcherstrasse 29, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1570,1.5,71,"Zürcherstrasse 31, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,900,1.5,0,"Rösslimattstrasse 13, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1010,1.5,40,"Zürcherstrasse 31, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1380,1.5,65,"Luzernerstrasse 15c, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1416,1.5,65,"Luzernerstrasse 15c, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1570,1.5,71,"Zürcherstrasse 29, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,1570,1.5,71,"Zürcherstrasse 31, 5630 Muri AG",Muri AG,Aargau,Middle-North,German,None
CHF,750,2,40,"Hauptstrasse 12, 5524 Niederwil AG",Niederwil AG,Aargau,Middle-North,German,None
CHF,750,2,40,"Hauptstrasse 12, 5524 Niederwil AG",Niederwil AG,Aargau,Middle-North,German,None
CHF,840,1,24,"Kornweg 4a, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,981,1.5,42,"Kirchweg 41 C, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,1220,2,49,"Schulstrasse 11, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,1330,2,62,"Schulstrasse 24, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,1360,2,57,"General-Guisanstr. 53, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,840,1,24,"Kornweg 4a, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,981,1.5,42,"Kirchweg 41 C, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,1220,2,49,"Schulstrasse 11, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,1330,2,62,"Schulstrasse 24, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,1360,2,57,"General-Guisanstr. 53, 5415 Nussbaumen AG",Nussbaumen AG,Aargau,Middle-North,German,None
CHF,550,1,0,"Hauptstrasse 37, 5734 Reinach AG",Reinach AG,Aargau,Middle-North,German,None
CHF,650,1,0,5734 Reinach AG,Reinach AG,Aargau,Middle-North,German,None
CHF,740,1.5,31,"Feldstrasse 8, 5734 Reinach AG",Reinach AG,Aargau,Middle-North,German,None
CHF,1930,1.5,83,"Winkelstrasse, 5734 Reinach AG",Reinach AG,Aargau,Middle-North,German,None
CHF,690,1.5,0,"Dorfstrasse 12, 5332 Rekingen AG",Rekingen AG,Aargau,Middle-North,German,None
CHF,550,1,0,"Hauptstrasse 37, 5734 Reinach AG",Reinach AG,Aargau,Middle-North,German,None
CHF,650,1,0,5734 Reinach AG,Reinach AG,Aargau,Middle-North,German,None
CHF,740,1.5,31,"Feldstrasse 8, 5734 Reinach AG",Reinach AG,Aargau,Middle-North,German,None
CHF,1930,1.5,83,"Winkelstrasse, 5734 Reinach AG",Reinach AG,Aargau,Middle-North,German,None
CHF,690,1.5,0,"Dorfstrasse 12, 5332 Rekingen AG",Rekingen AG,Aargau,Middle-North,German,None
CHF,890,2,48,"Hubelmattstr. 37, 5723 Teufenthal AG",Teufenthal AG,Aargau,Middle-North,German,None
CHF,890,2,48,"Hubelmattstr. 37, 5723 Teufenthal AG",Teufenthal AG,Aargau,Middle-North,German,None
CHF,1380,2,70,"Zentralstrasse 48, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,520,1,17,"Zentralstrasse 48, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,560,1,17,"Obere Farnbühlstrasse 27, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,740,1.5,42,"Stegmattweg 10, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,900,1,32,"Industriestrasse 3, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,910,1.5,40,"Zentralstrasse 13, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,980,2,64,"Bremgarterstrasse 21, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,990,1.5,35,"Untere Farnbühlstrasse 44, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1060,1.5,50,"Alte Bahnhofstrasse 1, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1090,2,50,"Friedhofstrasse 21, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1100,2,35,Wohlen AG,Wohlen AG,Aargau,Middle-North,German,None
CHF,520,1,17,"Zentralstrasse 48, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,560,1,17,"Zentralstrasse 48, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,740,1.5,42,"Obere Farnbühlstrasse 27, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,900,1,32,"Stegmattweg 10, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,910,1.5,40,"Industriestrasse 3, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,980,2,64,"Zentralstrasse 13, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,990,1.5,35,"Bremgarterstrasse 21, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1060,1.5,50,"Untere Farnbühlstrasse 44, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1090,2,50,"Alte Bahnhofstrasse 1, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1100,2,35,"Friedhofstrasse 21, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1145,2,56,"Juchliweg 2, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1175,2,0,"Juchliweg 7, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1145,2,56,"Juchliweg 2, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,1175,2,0,"Juchliweg 7, 5610 Wohlen AG",Wohlen AG,Aargau,Middle-North,German,None
CHF,650,1,0,"Bruggerstrasse, 5116 Schinznach Bad",Schinznach Bad,Aargau,Middle-North,German,None
CHF,650,1,0,"Bruggerstrasse, 5116 Schinznach Bad",Schinznach Bad,Aargau,Middle-North,German,None
CHF,840,1.5,0,"Dahlienweg 8, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,950,2,42,"Badstrasse 48, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,1010,2,48,"Neubergstrasse 18, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,1150,2,54,"Hauptstrasse 19, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,840,1.5,0,"Dahlienweg 8, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,950,2,42,"Badstrasse 48, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,1010,2,48,"Neubergstrasse 18, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,1150,2,54,"Hauptstrasse 19, 5330 Bad Zurzach",Bad Zurzach,Aargau,Middle-North,German,None
CHF,1790,1,58,"Weite Gasse 36, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1780,1,58,"Weite Gasse 36, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1820,1,56,"Weite Gasse 36, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,600,1,0,"Stadtturmstr. 20, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,750,1,13,"Stockmattstrasse 33, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,790,1,23,5400 Baden,Baden,Aargau,Middle-North,German,None
CHF,800,1,25,"Stadtbachstrasse 79, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,850,1,32,"Haselstrasse 9, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1050,1,22,"Rütistrasse 6, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1200,1,29,5400 Baden,Baden,Aargau,Middle-North,German,None
CHF,1255,2,0,"Neuenhoferstrasse 101, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1400,1.5,60,"Obere Gasse 33, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1595,2,0,"Zürcherstrasse 47, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,750,1,13,"Stadtturmstr. 20, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,790,1,23,"Stockmattstrasse 33, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,800,1,25,5400 Baden,Baden,Aargau,Middle-North,German,None
CHF,850,1,32,"Stadtbachstrasse 79, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1050,1,22,"Haselstrasse 9, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1200,1,29,"Rütistrasse 6, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1255,2,0,5400 Baden,Baden,Aargau,Middle-North,German,None
CHF,1400,1.5,60,"Neuenhoferstrasse 101, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1595,2,0,"Obere Gasse 33, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1775,1.5,67,"Zürcherstrasse 47, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,2200,1.5,63,"Mellingerstrasse 18, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,2200,1.5,63,"Mellingerstrasse 18, 5400 Baden",Baden,Aargau,Middle-North,German,None
CHF,1400,1,61,"Wiesentalstrasse 13, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1645,2,54,"Wiesentalstrasse 16, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1650,2,54,"Wiesentalstrasse 14, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1650,1.5,95,"Klosterstrasse 10, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1400,1,61,"Wiesentalstrasse 13, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1645,2,54,"Wiesentalstrasse 16, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1650,2,54,"Wiesentalstrasse 14, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,1650,1.5,95,"Klosterstrasse 10, 8962 Bergdietikon",Bergdietikon,Aargau,Middle-North,German,None
CHF,880,1,28,"Corneliaweg 2, 8965 Berikon",Berikon,Aargau,Middle-North,German,None
CHF,1245,2,57,"Kesslernmattstr. 10, 8965 Berikon",Berikon,Aargau,Middle-North,German,None
CHF,1520,2,95,"Moosstrasse 15, 8965 Berikon",Berikon,Aargau,Middle-North,German,None
CHF,880,1,28,"Corneliaweg 2, 8965 Berikon",Berikon,Aargau,Middle-North,German,None
CHF,1245,2,57,"Kesslernmattstr. 10, 8965 Berikon",Berikon,Aargau,Middle-North,German,None
CHF,1520,2,95,"Moosstrasse 15, 8965 Berikon",Berikon,Aargau,Middle-North,German,None
CHF,1465,2,79,"Hinterdorfstrasse 10, 5242 Birr",Birr,Aargau,Middle-North,German,None
CHF,790,1,0,"Hinterdorfstrasse 10, 5242 Birr",Birr,Aargau,Middle-North,German,None
CHF,790,1,0,"Hinterreistrasse 1, 5244 Birrhard",Birrhard,Aargau,Middle-North,German,None
CHF,850,1.5,0,"Hinterreistrasse 1, 5244 Birrhard",Birrhard,Aargau,Middle-North,German,None
CHF,1370,2,65,"Oberdorfstrasse 12, 5623 Boswil",Boswil,Aargau,Middle-North,German,None
CHF,1300,2,70,"Oberdorfstrasse 12, 5623 Boswil",Boswil,Aargau,Middle-North,German,None
CHF,720,1.5,0,"Oberdorfstrasse 8, 5107 Schinznach Dorf",Schinznach Dorf,Aargau,Middle-North,German,None
CHF,720,1.5,0,"Oberdorfstrasse 8, 5107 Schinznach Dorf",Schinznach Dorf,Aargau,Middle-North,German,None
CHF,820,1,40,"Brühlstrasse 17, 5304 Endingen",Endingen,Aargau,Middle-North,German,None
CHF,1270,2,47,"Brühlstrasse 17, 5304 Endingen",Endingen,Aargau,Middle-North,German,None
CHF,820,1,40,"Brühlstrasse 17, 5304 Endingen",Endingen,Aargau,Middle-North,German,None
CHF,1270,2,47,"Brühlstrasse 17, 5304 Endingen",Endingen,Aargau,Middle-North,German,None
CHF,1150,1.5,0,"Hertensteinstrasse 2, 5408 Ennetbaden",Ennetbaden,Aargau,Middle-North,German,None
CHF,1280,2,60,"Höhtalstrasse 8, 5408 Ennetbaden",Ennetbaden,Aargau,Middle-North,German,None
CHF,1150,1.5,0,"Hertensteinstrasse 2, 5408 Ennetbaden",Ennetbaden,Aargau,Middle-North,German,None
CHF,1280,2,60,"Höhtalstrasse 8, 5408 Ennetbaden",Ennetbaden,Aargau,Middle-North,German,None
CHF,1050,2,48,"Niederrohrdorferstrasse 2, 5442 Fislisbach",Fislisbach,Aargau,Middle-North,German,None
CHF,1090,2,52,"Schönbühlstr. 17b, 5442 Fislisbach",Fislisbach,Aargau,Middle-North,German,None
CHF,1390,2,0,"Musterleestrasse 14, 5442 Fislisbach",Fislisbach,Aargau,Middle-North,German,None
CHF,1050,2,48,"Niederrohrdorferstrasse 2, 5442 Fislisbach",Fislisbach,Aargau,Middle-North,German,None
CHF,1090,2,52,"Schönbühlstr. 17b, 5442 Fislisbach",Fislisbach,Aargau,Middle-North,German,None
CHF,1390,2,0,"Musterleestrasse 14, 5442 Fislisbach",Fislisbach,Aargau,Middle-North,German,None
CHF,940,1.5,40,"Schulstrasse 11, 5423 Freienwil",Freienwil,Aargau,Middle-North,German,None
CHF,940,1.5,40,"Schulstrasse 11, 5423 Freienwil",Freienwil,Aargau,Middle-North,German,None
CHF,1100,1.5,65,"Wiesenstrasse, 5412 Gebenstorf",Gebenstorf,Aargau,Middle-North,German,None
CHF,1100,1.5,65,"Wiesenstrasse, 5412 Gebenstorf",Gebenstorf,Aargau,Middle-North,German,None
CHF,820,1,33,"Mattenstrasse 16, 5722 Gränichen",Gränichen,Aargau,Middle-North,German,None
CHF,820,1,33,"Mattenstrasse 16, 5722 Gränichen",Gränichen,Aargau,Middle-North,German,None
CHF,1400,2,61,"Friedhofstrasse 36, 4303 Kaiseraugst",Kaiseraugst,Aargau,Middle-North,German,None
CHF,1400,2,61,"Friedhofstrasse 36, 4303 Kaiseraugst",Kaiseraugst,Aargau,Middle-North,German,None
CHF,900,2,0,"Stauseestrasse 12, 5314 Kleindöttingen",Kleindöttingen,Aargau,Middle-North,German,None
CHF,990,1,25,"Hauptstrasse 22, 5314 Kleindöttingen",Kleindöttingen,Aargau,Middle-North,German,None
CHF,900,2,0,"Stauseestrasse 12, 5314 Kleindöttingen",Kleindöttingen,Aargau,Middle-North,German,None
CHF,990,1,25,"Hauptstrasse 22, 5314 Kleindöttingen",Kleindöttingen,Aargau,Middle-North,German,None
CHF,1425,1.5,85,"Obere Wasengasse 62, 5080 Laufenburg",Laufenburg,Aargau,Middle-North,German,None
CHF,1425,1.5,85,"Obere Wasengasse 62, 5080 Laufenburg",Laufenburg,Aargau,Middle-North,German,None
CHF,600,1,15,"Gustav Zeiler-Ring 2, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,650,1,0,5600 Lenzburg,Lenzburg,Aargau,Middle-North,German,None
CHF,780,1,32,"Zeughausstrasse 25, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,600,1,15,"Gustav Zeiler-Ring 2, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,650,1,0,5600 Lenzburg,Lenzburg,Aargau,Middle-North,German,None
CHF,780,1,32,"Zeughausstrasse 25, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,850,1.5,30,"Gustav Zeiler - Ring 2, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,850,1.5,30,"Langsamstig 9, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,1720,1,0,"Gustav Zeiler - Ring 2, 5600 Lenzburg",Lenzburg,Aargau,Middle-North,German,None
CHF,900,2,53,"Kirchplatz 2, 5316 Leuggern",Leuggern,Aargau,Middle-North,German,None
CHF,930,2,0,"Kirchplatz 2, 5316 Leuggern",Leuggern,Aargau,Middle-North,German,None
CHF,790,1,0,"Lenzburgerstrasse 12, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,790,1,0,"Lenzburgerstrasse 12, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,960,1.5,0,"Jurastrasse 4, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,964,2,41,"Scheunengasse 9b, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,995,1.5,0,"Zeughausstr. 12, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,1075,1.5,0,"Bruggerstrasse 2, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,1100,2,47,"Kornweg 2, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,1600,1.5,72,"Birrfeldstrasse 3+5, 5507 Mellingen",Mellingen,Aargau,Middle-North,German,None
CHF,690,1.5,35,"Russirainweg 11, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,800,1.5,40,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,820,1,34,"Spitalstrasse 20, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,850,1.5,50,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,1070,2,50,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,1090,2,56,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,690,1.5,35,"Russirainweg 11, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,800,1.5,40,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,820,1,34,"Spitalstrasse 20, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,850,1.5,50,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,1070,2,50,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,1090,2,56,"Hauptstrasse 50, 5737 Menziken",Menziken,Aargau,Middle-North,German,None
CHF,1230,1.5,36,"Himmelrychstrasse 10a + 10b, 5634 Merenschwand",Merenschwand,Aargau,Middle-North,German,None
CHF,1230,1.5,35,"Himmelrychstrasse 10a + 10b, 5634 Merenschwand",Merenschwand,Aargau,Middle-North,German,None
CHF,1230,1.5,36,"Himmelrychstrasse 10a + 10b, 5634 Merenschwand",Merenschwand,Aargau,Middle-North,German,None
CHF,1230,1.5,35,"Himmelrychstrasse 10a + 10b, 5634 Merenschwand",Merenschwand,Aargau,Middle-North,German,None
